"Time","latency-50-percentile","latency-95-percentile","latency-99-percentile"
2023-04-18 13:59:10,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:15,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:20,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:25,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:30,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:35,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:40,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:45,2.50 ms,4.75 ms,4.95 ms
2023-04-18 13:59:50,587 ms,2.28 s,2.46 s
2023-04-18 13:59:55,1.21 s,8.17 s,9.63 s
2023-04-18 14:00:00,960 ms,7.56 s,9.51 s
2023-04-18 14:00:05,951 ms,7.10 s,9.42 s
2023-04-18 14:00:10,853 ms,5.83 s,9.17 s
2023-04-18 14:00:15,841 ms,6.19 s,9.24 s
2023-04-18 14:00:20,807 ms,6.40 s,9.28 s
2023-04-18 14:00:25,767 ms,5.93 s,9.19 s
2023-04-18 14:00:30,756 ms,5.54 s,9.11 s
2023-04-18 14:00:35,755 ms,5.08 s,9.02 s
2023-04-18 14:00:40,706 ms,5.87 s,9.17 s
2023-04-18 14:00:45,636 ms,4.85 s,8.82 s
2023-04-18 14:00:50,583 ms,4.51 s,8.08 s
2023-04-18 14:00:55,500 ms,4.42 s,8.07 s
2023-04-18 14:01:00,473 ms,4.35 s,8.05 s
2023-04-18 14:01:05,431 ms,4.05 s,7.10 s
2023-04-18 14:01:10,427 ms,3.68 s,4.96 s
2023-04-18 14:01:15,438 ms,3.30 s,4.95 s
2023-04-18 14:01:20,441 ms,3.32 s,4.95 s
2023-04-18 14:01:25,434 ms,2.57 s,4.92 s
2023-04-18 14:01:30,399 ms,2.62 s,4.92 s
2023-04-18 14:01:35,420 ms,2.67 s,4.94 s
2023-04-18 14:01:40,424 ms,2.60 s,4.92 s
2023-04-18 14:01:45,419 ms,2.44 s,4.92 s
2023-04-18 14:01:50,446 ms,3.36 s,4.96 s
2023-04-18 14:01:55,493 ms,3.93 s,4.97 s
2023-04-18 14:02:00,625 ms,4.02 s,4.97 s
2023-04-18 14:02:05,538 ms,4.02 s,4.97 s
2023-04-18 14:02:10,538 ms,3.98 s,4.80 s
2023-04-18 14:02:15,510 ms,3.97 s,4.79 s
2023-04-18 14:02:20,583 ms,4.07 s,4.81 s
2023-04-18 14:02:25,673 ms,4.18 s,4.84 s
2023-04-18 14:02:30,696 ms,4.16 s,4.83 s
2023-04-18 14:02:35,679 ms,4.13 s,4.83 s
2023-04-18 14:02:40,667 ms,4.10 s,4.82 s
2023-04-18 14:02:45,625 ms,4.06 s,4.81 s
2023-04-18 14:02:50,554 ms,3.87 s,4.78 s
2023-04-18 14:02:55,495 ms,3.99 s,4.80 s
2023-04-18 14:03:00,571 ms,4.02 s,4.80 s
2023-04-18 14:03:05,571 ms,3.98 s,4.80 s
2023-04-18 14:03:10,625 ms,4.07 s,4.81 s
2023-04-18 14:03:15,553 ms,4.02 s,4.80 s
2023-04-18 14:03:20,495 ms,3.96 s,4.79 s
2023-04-18 14:03:25,445 ms,4.08 s,4.82 s
2023-04-18 14:03:30,477 ms,4.19 s,4.84 s
2023-04-18 14:03:35,515 ms,4.28 s,4.86 s
2023-04-18 14:03:40,484 ms,4.22 s,4.84 s
2023-04-18 14:03:45,467 ms,4.15 s,4.83 s
2023-04-18 14:03:50,458 ms,4.11 s,4.82 s
2023-04-18 14:03:55,489 ms,4.21 s,4.84 s
2023-04-18 14:04:00,467 ms,4.17 s,4.83 s
2023-04-18 14:04:05,435 ms,4.08 s,4.82 s
2023-04-18 14:04:10,430 ms,4 s,4.80 s
2023-04-18 14:04:15,443 ms,4 s,4.80 s
2023-04-18 14:04:20,482 ms,4.04 s,4.81 s
2023-04-18 14:04:25,462 ms,4.08 s,4.82 s
2023-04-18 14:04:30,458 ms,4 s,4.80 s
2023-04-18 14:04:35,442 ms,3.89 s,4.78 s
2023-04-18 14:04:40,433 ms,4.01 s,4.80 s
2023-04-18 14:04:45,435 ms,4 s,4.80 s
2023-04-18 14:04:50,406 ms,3.90 s,4.78 s
2023-04-18 14:04:55,401 ms,3.99 s,4.80 s
2023-04-18 14:05:00,406 ms,4.04 s,4.81 s
2023-04-18 14:05:05,443 ms,4.10 s,4.82 s
2023-04-18 14:05:10,435 ms,4.10 s,4.82 s
2023-04-18 14:05:15,437 ms,4.00 s,4.80 s
2023-04-18 14:05:20,453 ms,3.90 s,4.78 s
2023-04-18 14:05:25,435 ms,3.75 s,4.75 s
2023-04-18 14:05:30,451 ms,3.77 s,4.75 s
2023-04-18 14:05:35,447 ms,3.75 s,4.75 s
2023-04-18 14:05:40,435 ms,3.55 s,4.71 s
2023-04-18 14:05:45,409 ms,3.57 s,4.71 s
2023-04-18 14:05:50,400 ms,3.33 s,4.67 s
2023-04-18 14:05:55,401 ms,3.31 s,4.66 s
2023-04-18 14:06:00,375 ms,3.00 s,4.60 s
2023-04-18 14:06:05,380 ms,3.03 s,4.61 s
2023-04-18 14:06:10,384 ms,3.55 s,4.71 s
2023-04-18 14:06:15,338 ms,3.31 s,4.66 s
2023-04-18 14:06:20,344 ms,3.35 s,4.67 s
2023-04-18 14:06:25,353 ms,3.57 s,4.71 s
2023-04-18 14:06:30,352 ms,3.33 s,4.67 s
2023-04-18 14:06:35,365 ms,3.33 s,4.67 s
2023-04-18 14:06:40,365 ms,3.02 s,4.61 s
2023-04-18 14:06:45,380 ms,3.00 s,4.60 s
2023-04-18 14:06:50,375 ms,2.53 s,4.51 s
2023-04-18 14:06:55,389 ms,3.00 s,4.60 s
2023-04-18 14:07:00,361 ms,2.49 s,4.49 s
2023-04-18 14:07:05,337 ms,2.27 s,4.00 s
2023-04-18 14:07:10,355 ms,2.39 s,4.34 s
2023-04-18 14:07:15,339 ms,2.39 s,4.36 s
2023-04-18 14:07:20,333 ms,2.28 s,4.10 s
2023-04-18 14:07:25,337 ms,2.27 s,4.15 s
