"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-18 13:59:10,0%,0%,0%,0%,0.200%,0.200%,0.200%
2023-04-18 13:59:15,0%,0%,0%,0%,0%,0.200%,0%
2023-04-18 13:59:20,0%,0%,0%,0%,0%,0.200%,0.400%
2023-04-18 13:59:25,0%,0%,0%,0%,0.200%,0%,0.400%
2023-04-18 13:59:30,0%,0%,0%,0%,0%,0.200%,0.200%
2023-04-18 13:59:35,0%,0%,0%,0%,0.200%,0.400%,0.200%
2023-04-18 13:59:40,0%,0%,0%,0%,0%,0.200%,0.400%
2023-04-18 13:59:45,0%,0%,0%,8.60%,5.40%,10%,23.4%
2023-04-18 13:59:50,0%,0%,0%,6.80%,3.40%,5.80%,17.4%
2023-04-18 13:59:55,0%,0%,0%,6.00%,3.20%,5.80%,19.0%
2023-04-18 14:00:00,0%,0%,0%,4.00%,2.80%,5.60%,10.8%
2023-04-18 14:00:05,0%,0%,0%,4.20%,6.40%,5.40%,9.40%
2023-04-18 14:00:10,0%,0%,0%,3.20%,3.00%,3.00%,7.20%
2023-04-18 14:00:15,0%,0%,0%,5.80%,6.60%,4.80%,8.60%
2023-04-18 14:00:20,0%,0%,0%,3.00%,2.60%,3.80%,13.2%
2023-04-18 14:00:25,0%,0%,0%,3.80%,4.40%,5.40%,9.00%
2023-04-18 14:00:30,0%,0%,0%,5.20%,4.00%,4.40%,13.6%
2023-04-18 14:00:35,0%,0%,0%,1.20%,1.60%,2.40%,8.20%
2023-04-18 14:00:40,0%,0%,0%,3.00%,3.00%,4.40%,12.6%
2023-04-18 14:00:45,0%,0%,0%,4.80%,3.60%,5.80%,14.8%
2023-04-18 14:00:50,0%,0%,0%,2.60%,2.40%,2.80%,8.00%
2023-04-18 14:00:55,0%,0%,0%,1.60%,1.40%,1.80%,12.4%
2023-04-18 14:01:00,0%,0%,0%,2.00%,3.80%,2.20%,19.6%
2023-04-18 14:01:05,0%,0%,0%,2.40%,3.00%,3.20%,13.2%
2023-04-18 14:01:10,0%,0%,0%,4.20%,5%,6.00%,11.0%
2023-04-18 14:01:15,0%,0%,0%,6.00%,5%,5.20%,19.6%
2023-04-18 14:01:20,0%,0%,0%,4.00%,4.20%,3.00%,19.8%
2023-04-18 14:01:25,0%,0%,0%,1.00%,1.80%,2.00%,2.60%
2023-04-18 14:01:30,0%,0%,0%,2.80%,2.20%,2.20%,10%
2023-04-18 14:01:35,0%,0%,0%,2.60%,2.20%,2.80%,26.8%
2023-04-18 14:01:40,0%,0%,0%,2.60%,3.40%,3.20%,9.20%
2023-04-18 14:01:45,0%,0%,0%,7.20%,5%,7.00%,12.6%
2023-04-18 14:01:50,0%,0%,0%,5.60%,4.80%,6.20%,10.4%
2023-04-18 14:01:55,0%,0%,0%,4.60%,3.40%,5.80%,21.2%
2023-04-18 14:02:00,0%,0%,0%,2.00%,1.00%,2.20%,13.0%
2023-04-18 14:02:05,0%,0%,0%,5.40%,3.80%,5.60%,8.60%
2023-04-18 14:02:10,0%,0%,0%,3.00%,1.80%,5.40%,6.60%
2023-04-18 14:02:15,0%,0%,0%,5%,2.80%,5.20%,13.4%
2023-04-18 14:02:20,0%,0%,0%,5.60%,2.60%,7.40%,11.4%
2023-04-18 14:02:25,0%,0%,0%,4.20%,3.00%,4.80%,10.8%
2023-04-18 14:02:30,0%,0%,0%,1.60%,1.40%,2.80%,11.8%
2023-04-18 14:02:35,0%,0%,0%,1.40%,1.20%,1.60%,7.40%
2023-04-18 14:02:40,0%,0%,0%,4.40%,2.40%,4.40%,10.6%
2023-04-18 14:02:45,0%,0%,0%,3.80%,2.40%,4.00%,11.0%
2023-04-18 14:02:50,0%,0%,0%,3.40%,1.40%,3.40%,6.80%
2023-04-18 14:02:55,0%,0%,0%,3.20%,2.80%,3.40%,4.00%
2023-04-18 14:03:00,0%,0%,0%,3.80%,3.60%,5.80%,5.40%
2023-04-18 14:03:05,0%,0%,0%,3.80%,2.40%,5.20%,14.4%
2023-04-18 14:03:10,0%,0%,0%,4.20%,3.00%,6.00%,5.80%
2023-04-18 14:03:15,0%,0%,0%,2.60%,1.60%,4.60%,9.80%
2023-04-18 14:03:20,0%,0%,0%,2.00%,1.20%,2.60%,14.0%
2023-04-18 14:03:25,0%,0%,0%,2.60%,3.00%,3.80%,9.20%
2023-04-18 14:03:30,0%,0%,0%,2.80%,3.40%,5.20%,7.20%
2023-04-18 14:03:35,0%,0%,0%,5.20%,4.20%,4.60%,7.80%
2023-04-18 14:03:40,0%,0%,0%,0.800%,0.600%,1.80%,6.40%
2023-04-18 14:03:45,0%,0%,0%,2.60%,2.60%,4.60%,11.2%
2023-04-18 14:03:50,0%,0%,0%,5.20%,2.60%,5.80%,12.2%
2023-04-18 14:03:55,0%,0%,0%,1.40%,1.000%,2.60%,14.2%
2023-04-18 14:04:00,0%,0%,0%,2.20%,2.20%,3.80%,9.00%
2023-04-18 14:04:05,0%,0%,0%,1.40%,1.000%,1.40%,6.80%
2023-04-18 14:04:10,0%,0%,0%,3.40%,3.80%,5%,4.60%
2023-04-18 14:04:15,0%,0%,0%,4.40%,3.80%,5.80%,8.40%
2023-04-18 14:04:20,0%,0%,0%,3.80%,1.80%,4.60%,10%
2023-04-18 14:04:25,0%,0%,0%,3.20%,2.40%,3.60%,5.80%
2023-04-18 14:04:30,0%,0%,0%,1.40%,1.00%,1.40%,13.2%
2023-04-18 14:04:35,0%,0%,0%,2.20%,1.60%,3.00%,10.4%
2023-04-18 14:04:40,0%,0%,0%,3.20%,1.40%,2.80%,6.60%
2023-04-18 14:04:45,0%,0%,0%,3.20%,1.80%,2.60%,7.40%
2023-04-18 14:04:50,0%,0%,0%,2.20%,0.600%,3.20%,5%
2023-04-18 14:04:55,0%,0%,0%,2.40%,2.60%,3.60%,5%
2023-04-18 14:05:00,0%,0%,0%,4.80%,3.00%,5.60%,12.0%
2023-04-18 14:05:05,0%,0%,0%,1.60%,1.40%,1.60%,11.4%
2023-04-18 14:05:10,0%,0%,0%,3.20%,1.80%,3.60%,8.80%
2023-04-18 14:05:15,0%,0%,0%,4.20%,2.40%,4.00%,5%
2023-04-18 14:05:20,0%,0%,0%,3.40%,2.40%,4.00%,6.60%
2023-04-18 14:05:25,0%,0%,0%,1.20%,1.00%,1.20%,3.20%
2023-04-18 14:05:30,0%,0%,0%,1.80%,1.00%,2.40%,8.20%
2023-04-18 14:05:35,0%,0%,0%,2.40%,2.20%,3.60%,9.60%
2023-04-18 14:05:40,0%,0%,0%,1.40%,1.80%,2.80%,3.40%
2023-04-18 14:05:45,0%,0%,0%,1.00%,0.400%,0.400%,14.0%
2023-04-18 14:05:50,0%,0%,0%,2.60%,1.000%,2.80%,9.00%
2023-04-18 14:05:55,0%,0%,0%,1.60%,1.20%,2.60%,9.60%
2023-04-18 14:06:00,0%,0%,0%,2.60%,2.60%,3.40%,10.6%
2023-04-18 14:06:05,0%,0%,0%,5.20%,4.60%,5%,14.8%
2023-04-18 14:06:10,0%,0%,0%,1.00%,0.400%,0.400%,8.00%
2023-04-18 14:06:15,0%,0%,0%,1.20%,1.20%,2.00%,6.60%
2023-04-18 14:06:20,0%,0%,0%,3.40%,1.80%,5%,11.2%
2023-04-18 14:06:25,0%,0%,0%,1.60%,1.80%,2.20%,6.20%
2023-04-18 14:06:30,0%,0%,0%,3.80%,3.20%,4.80%,11.0%
2023-04-18 14:06:35,0%,0%,0%,2.00%,1.00%,2.80%,6.40%
2023-04-18 14:06:40,0%,0%,0%,1.60%,0.600%,1.40%,8.60%
2023-04-18 14:06:45,0%,0%,0%,2.60%,0.800%,2.40%,16.2%
2023-04-18 14:06:50,0%,0%,0%,5.20%,2.80%,6.80%,7.60%
2023-04-18 14:06:55,0%,0%,0%,1.60%,1.40%,1.80%,8.40%
2023-04-18 14:07:00,0%,0%,0%,2.00%,2.00%,2.00%,5.20%
2023-04-18 14:07:05,0%,0%,0%,1.80%,2.20%,2.80%,5.80%
2023-04-18 14:07:10,0%,0%,0%,0.400%,0.200%,0.400%,2.80%
2023-04-18 14:07:15,0%,0%,0%,1.00%,0.800%,0.200%,5.40%
2023-04-18 14:07:20,0%,0%,0%,0.400%,0.600%,0.800%,4.60%
2023-04-18 14:07:25,0%,0%,0%,0%,0.200%,0.200%,3.00%
2023-04-18 14:07:30,0%,0%,0%,0%,0%,0.200%,0.400%
2023-04-18 14:07:35,0%,0%,0%,1.60%,1.80%,1.40%,4.80%
2023-04-18 14:07:40,0%,0%,0%,0.400%,0.400%,0.400%,6.80%
2023-04-18 14:07:45,0%,0%,0%,1.20%,1.40%,1.40%,1.80%
2023-04-18 14:07:50,0%,0%,0%,1.00%,1.00%,1.80%,4.80%
2023-04-18 14:07:55,0%,0%,0%,0.200%,0.200%,0.200%,3.40%
2023-04-18 14:08:00,0%,0%,0%,3.20%,2.20%,2.40%,3.00%
2023-04-18 14:08:05,0%,0%,0%,1.20%,1.40%,1.40%,2.00%
2023-04-18 14:08:10,0%,0%,0%,0.800%,1.00%,1.20%,3.60%
2023-04-18 14:08:15,0%,0%,0%,0.800%,0.600%,1.40%,4.00%
2023-04-18 14:08:20,0%,0%,0%,0.200%,0.400%,0.200%,1.40%
2023-04-18 14:08:25,0%,0%,0%,0.400%,0%,0.400%,5.40%
2023-04-18 14:08:30,0%,0%,0%,1.40%,1.60%,2.40%,2.20%
2023-04-18 14:08:35,0%,0%,0%,0.200%,0.200%,0.400%,3.20%
2023-04-18 14:08:40,0%,0%,0%,0%,0%,0.200%,0.200%
2023-04-18 14:08:45,0%,0%,0%,0.800%,1.000%,0.800%,3.60%
2023-04-18 14:08:50,0%,0%,0%,0.400%,0.200%,0%,3.20%
2023-04-18 14:08:55,0%,0%,0%,0.800%,1.00%,1.80%,2.00%
2023-04-18 14:09:00,0%,0%,0%,0.200%,0.200%,0.800%,5.60%
2023-04-18 14:09:05,0%,0%,0%,2.20%,2.80%,2.80%,3.40%
2023-04-18 14:09:10,0%,0%,0%,0.800%,1.00%,1.60%,4.40%
2023-04-18 14:09:15,0%,0%,0%,0.800%,1.00%,1.40%,1.40%
2023-04-18 14:09:20,0%,0%,0%,0.200%,0.200%,0.400%,2.60%
