"Time","Used","Buffer","Cached","Free"
2023-04-18 13:59:10,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:15,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:20,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:25,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:30,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:35,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:40,311 MiB,27.5 MiB,508 MiB,124 MiB
2023-04-18 13:59:45,340 MiB,27.3 MiB,502 MiB,100 MiB
2023-04-18 13:59:50,340 MiB,27.3 MiB,502 MiB,100 MiB
2023-04-18 13:59:55,337 MiB,27.3 MiB,502 MiB,103 MiB
2023-04-18 14:00:00,335 MiB,27.3 MiB,502 MiB,105 MiB
2023-04-18 14:00:05,336 MiB,27.3 MiB,502 MiB,105 MiB
2023-04-18 14:00:10,336 MiB,27.3 MiB,502 MiB,105 MiB
2023-04-18 14:00:15,336 MiB,27.3 MiB,502 MiB,105 MiB
2023-04-18 14:00:20,332 MiB,27.3 MiB,502 MiB,109 MiB
2023-04-18 14:00:25,332 MiB,27.3 MiB,502 MiB,109 MiB
2023-04-18 14:00:30,332 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:00:35,332 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:00:40,332 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:00:45,332 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:00:50,332 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:00:55,330 MiB,27.3 MiB,502 MiB,110 MiB
2023-04-18 14:01:00,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:05,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:10,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:15,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:20,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:25,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:30,328 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:01:35,332 MiB,27.3 MiB,502 MiB,109 MiB
2023-04-18 14:01:40,332 MiB,27.3 MiB,502 MiB,109 MiB
2023-04-18 14:01:45,329 MiB,27.3 MiB,502 MiB,111 MiB
2023-04-18 14:01:50,321 MiB,27.3 MiB,502 MiB,120 MiB
2023-04-18 14:01:55,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:00,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:05,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:10,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:15,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:20,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:25,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:30,325 MiB,27.3 MiB,502 MiB,116 MiB
2023-04-18 14:02:35,329 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:02:40,329 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:02:45,329 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:02:50,329 MiB,27.3 MiB,502 MiB,112 MiB
2023-04-18 14:02:55,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:00,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:05,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:10,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:15,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:20,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:25,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:30,333 MiB,27.3 MiB,502 MiB,108 MiB
2023-04-18 14:03:35,333 MiB,27.3 MiB,502 MiB,108 MiB
