"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","latency-50-percentile [ms]","latency-95-percentile [ms]","latency-99-percentile [ms]","avg-res-time [ms]","TimeToFail [ms]"
"2023-04-18 13:59:10","1681801150000","0","0","0","0","0.002","0.002","0.002","311","27.5","508","124","0.362","0","0.056799999999999996","0.18","0","0.365","0.0834","0","0.0492","2.25","0","0.0834","0.2","0.2","0","2.5","4.75","4.95","1.41","1141301"
"2023-04-18 13:59:15","1681801155000","0","0","0","0","0","0.002","0","311","27.5","508","124","0.373","0","0.045200000000000004","0.20600000000000002","0","0.379","0.09659999999999999","0","0.040799999999999996","2.28","0","0.09659999999999999","0.2","0.2","0","2.5","4.75","4.95","1.37","1136301"
"2023-04-18 13:59:20","1681801160000","0","0","0","0","0","0.002","0.004","311","27.5","508","124","0.368","0","0.0388","0.21","0","0.373","0.09179999999999999","0","0.0324","2.28","0","0.09179999999999999","0.2","0.2","0","2.5","4.75","4.95","1.36","1131301"
"2023-04-18 13:59:25","1681801165000","0","0","0","0","0.002","0","0.004","311","27.5","508","124","0.363","0","0","0.193","0","0.366","0.0834","0","0","2.27","0","0.0834","0.2","0.2","0","2.5","4.75","4.95","1.36","1126301"
"2023-04-18 13:59:30","1681801170000","0","0","0","0","0","0.002","0.002","311","27.5","508","124","0.373","0","0","0.193","0","0.378","0.09659999999999999","0","0","2.27","0","0.09659999999999999","0.2","0.2","0","2.5","4.75","4.95","1.38","1121301"
"2023-04-18 13:59:35","1681801175000","0","0","0","0","0.002","0.004","0.002","311","27.5","508","124","0.362","0","0.0112","0.193","0","0.365","0.0834","0","0.0154","2.27","0","0.0834","0.2","0.2","0","2.5","4.75","4.95","1.37","1116301"
"2023-04-18 13:59:40","1681801180000","0","0","0","0","0","0.002","0.004","311","27.5","508","124","3.51","0","0.0232","3.48","0","3.71","3.37","0","0.0192","5.61","0","3.37","0.2","0.2","0","2.5","4.75","4.95","1.39","1111301"
"2023-04-18 13:59:45","1681801185000","0","0","0","0.086","0.054000000000000006","0.1","0.23399999999999999","340","27.3","502","100","5520","0","0","3710","0","5550","3710","0","0","5550","0","3710","0.2","0.2","0","2.5","4.75","4.95","1.38","1106301"
"2023-04-18 13:59:50","1681801190000","0","0","0","0.068","0.034","0.057999999999999996","0.174","340","27.3","502","100","4710","0","0.0224","2930","0","4730","2930","0","0.0108","4730","0","2930","0.428","0.428","0","587","2280","2460","766","1101301"
"2023-04-18 13:59:55","1681801195000","0","0","0","0.06","0.032","0.057999999999999996","0.19","337","27.3","502","103","5490","0","0","3470","0","5510","3470","0","0","5510","0","3470","0.838","0.838","0","1210","8170","9630","2060","1096301"
"2023-04-18 14:00:00","1681801200000","0","0","0","0.04","0.027999999999999997","0.055999999999999994","0.10800000000000001","335","27.3","502","105","3110","0","0","1990","0","3120","1990","0","0","3120","0","1990","0.967","0.967","0","960","7560","9510","1570","1091301"
"2023-04-18 14:00:05","1681801205000","0","0","0","0.042","0.064","0.054000000000000006","0.094","336","27.3","502","105","2280","0","0.0224","1400","0","2290","1400","0","0.0108","2290","0","1400","1.09","1.09","0","951","7100","9420","1400","1086301"
"2023-04-18 14:00:10","1681801210000","0","0","0","0.032","0.03","0.03","0.07200000000000001","336","27.3","502","105","1130","0","0.0456","818","0","1130","818","0","0.0384","1140","0","818","1.24","1.24","0","853","5830","9170","1380","1081301"
"2023-04-18 14:00:15","1681801215000","0","0","0","0.057999999999999996","0.066","0.048","0.086","336","27.3","502","105","1300","0","0.033600000000000005","872","0","1320","872","0","0.03","1320","0","872","1.38","1.38","0","841","6190","9240","1390","1076301"
"2023-04-18 14:00:20","1681801220000","0","0","0","0.03","0.026000000000000002","0.038","0.132","332","27.3","502","109","3210","0","0","2009.9999999999998","0","3210","2009.9999999999998","0","0","3220","0","2009.9999999999998","1.55","1.55","0","807","6400","9280","1410","1071301"
"2023-04-18 14:00:25","1681801225000","0","0","0","0.038","0.044000000000000004","0.054000000000000006","0.09","332","27.3","502","109","1300","0","0","901","0","1310","901","0","0","1310","0","901","1.7","1.7","0","767","5930","9190","1330","1066301"
"2023-04-18 14:00:30","1681801230000","0","0","0","0.052000000000000005","0.04","0.044000000000000004","0.136","332","27.3","502","108","3010","0","0.113","1880","0","3020","1880","0","0.581","3020","0","1880","1.85","1.85","0","756","5540","9110","1320","1061301"
"2023-04-18 14:00:35","1681801235000","0","0","0","0.012","0.016","0.024","0.08199999999999999","332","27.3","502","108","2770","0","0","1720","0","2770","1720","0","0","2770","0","1720","2.03","2.03","0","755","5080","9020","1310","1056301"
"2023-04-18 14:00:40","1681801240000","0","0","0","0.03","0.03","0.044000000000000004","0.126","332","27.3","502","108","2150","0","0","1950","0","2160","1950","0","0","2160","0","1950","2.17","2.17","0","706","5870","9170","1260","1051301"
"2023-04-18 14:00:45","1681801245000","0","0","0","0.048","0.036000000000000004","0.057999999999999996","0.14800000000000002","332","27.3","502","108","4870","0","0.019600000000000003","2500","0","4880","2500","0","0.019600000000000003","4880","0","2500","2.15","2.15","0","636","4850","8820","1180","1046301"
"2023-04-18 14:00:50","1681801250000","0","0","0","0.026000000000000002","0.024","0.027999999999999997","0.08","332","27.3","502","108","2020","0","0.0308","1290","0","2029.9999999999998","1290","0","0.0304","2029.9999999999998","0","1290","2.09","2.09","0","583","4510","8080","1000","1041301"
"2023-04-18 14:00:55","1681801255000","0","0","0","0.016","0.013999999999999999","0.018000000000000002","0.124","330","27.3","502","110","3770","0","0.066","2330","0","3770","2330","0","0.0584","3780","0","2330","2.11","2.11","0","500","4420","8070","957","1036301"
"2023-04-18 14:01:00","1681801260000","0","0","0","0.02","0.038","0.022000000000000002","0.196","328","27.3","502","112","5650","0","0.07840000000000001","3630","0","5650","3630","0","0.07840000000000001","5650","0","3630","2.13","2.13","0","473","4350","8050.000000000001","905","1031301"
"2023-04-18 14:01:05","1681801265000","0","0","0","0.024","0.03","0.032","0.132","328","27.3","502","112","4130","0","0","2400","0","4140","2400","0","0","4140","0","2400","2.11","2.11","0","431","4050","7100","833","1026301"
"2023-04-18 14:01:10","1681801270000","0","0","0","0.042","0.05","0.06","0.11","328","27.3","502","112","2260","0","0.053200000000000004","1480","0","2270","1480","0","0.049600000000000005","2280","0","1480","2.09","2.09","0","427","3680","4960","776","1021301"
"2023-04-18 14:01:15","1681801275000","0","0","0","0.06","0.05","0.052000000000000005","0.196","328","27.3","502","112","4600","0","0.0728","3380","0","4610","3380","0","0.0692","4610","0","3380","2.09","2.09","0","438","3300","4950","763","1016301"
"2023-04-18 14:01:20","1681801280000","0","0","0","0.04","0.042","0.03","0.198","328","27.3","502","112","5750","0","0.0316","3200","0","5760","3200","0","0.028","5760","0","3200","2.07","2.07","0","441","3320","4950","782","1011301"
"2023-04-18 14:01:25","1681801285000","0","0","0","0.01","0.018000000000000002","0.02","0.026000000000000002","328","27.3","502","112","397","0","0","113","0","401","113","0","0","403","0","113","2.13","2.13","0","434","2570","4920","727","1006301"
"2023-04-18 14:01:30","1681801290000","0","0","0","0.027999999999999997","0.022000000000000002","0.022000000000000002","0.1","328","27.3","502","112","2830","0","0.0116","2300","0","2840","2300","0","0.0108","2840","0","2300","2.09","2.09","0","399","2620","4920","679","1001301"
"2023-04-18 14:01:35","1681801295000","0","0","0","0.026000000000000002","0.022000000000000002","0.027999999999999997","0.268","332","27.3","502","109","9170","0","0","5480","0","9180","5480","0","0","9180","0","5480","2.05","2.05","0","420","2670","4940","683","996301"
"2023-04-18 14:01:40","1681801300000","0","0","0","0.026000000000000002","0.034","0.032","0.092","332","27.3","502","109","2530","0","0","1240","0","2540","1240","0","0","2540","0","1240","2.11","2.11","0","424","2600","4920","688","991301"
"2023-04-18 14:01:45","1681801305000","0","0","0","0.07200000000000001","0.05","0.07","0.126","329","27.3","502","111","2390","0","0.0116","1630","0","2410","1630","0","0.0108","2420","0","1630","2.04","2.04","0","419","2440","4920","685","986301"
"2023-04-18 14:01:50","1681801310000","0","0","0","0.055999999999999994","0.048","0.062","0.10400000000000001","321","27.3","502","120","1330","0","0.0232","946","0","1340","946","0","0.0224","1350","0","946","2.04","2.04","0","446","3360","4960","776","981301"
"2023-04-18 14:01:55","1681801315000","0","0","0","0.046","0.034","0.057999999999999996","0.212","325","27.3","502","116","5400","0","0","3380","0","5410","3380","0","0","5410","0","3380","2.07","2.07","0","493","3930","4970","929","976301"
"2023-04-18 14:02:00","1681801320000","0","0","0","0.02","0.01","0.022000000000000002","0.13","325","27.3","502","116","4900","0","0","2980","0","4910","2980","0","0","4910","0","2980","2.07","2.07","0","625","4019.9999999999995","4970","1000","971301"
"2023-04-18 14:02:05","1681801325000","0","0","0","0.054000000000000006","0.038","0.055999999999999994","0.086","325","27.3","502","116","1300","0","0.033600000000000005","960","0","1310","960","0","0.0216","1310","0","960","2.07","2.07","0","538","4019.9999999999995","4970","962","966301"
"2023-04-18 14:02:10","1681801330000","0","0","0","0.03","0.018000000000000002","0.054000000000000006","0.066","325","27.3","502","116","435","0","0.056","364","0","448","364","0","0.040799999999999996","450","0","364","2.07","2.07","0","538","3980","4800","961","961301"
"2023-04-18 14:02:15","1681801335000","0","0","0","0.05","0.027999999999999997","0.052000000000000005","0.134","325","27.3","502","116","3400","0","0.0456","2200","0","3410","2200","0","0.0384","3420","0","2200","2.09","2.09","0","510","3970","4790","964","956301"
"2023-04-18 14:02:20","1681801340000","0","0","0","0.055999999999999994","0.026000000000000002","0.07400000000000001","0.114","325","27.3","502","116","2400","0","0","1570","0","2410","1570","0","0","2410","0","1570","2.04","2.04","0","583","4070.0000000000005","4810","1020","951301"
"2023-04-18 14:02:25","1681801345000","0","0","0","0.042","0.03","0.048","0.10800000000000001","325","27.3","502","116","2430","0","0.0116","1590","0","2450","1590","0","0.0108","2450","0","1590","2.04","2.04","0","673","4180","4840","1090","946301"
"2023-04-18 14:02:30","1681801350000","0","0","0","0.016","0.013999999999999999","0.027999999999999997","0.11800000000000001","325","27.3","502","116","3130","0","0.113","2440","0","3130","2440","0","0.579","3140","0","2440","2.07","2.07","0","696","4160","4830","1130","941301"
"2023-04-18 14:02:35","1681801355000","0","0","0","0.013999999999999999","0.012","0.016","0.07400000000000001","329","27.3","502","112","2890","0","0.0448","1310","0","2900","1310","0","0.0216","2900","0","1310","2.02","2.02","0","679","4130","4830","1120","936301"
"2023-04-18 14:02:40","1681801360000","0","0","0","0.044000000000000004","0.024","0.044000000000000004","0.106","329","27.3","502","112","2990","0","0.0224","1880","0","3010","1880","0","0.0216","3010","0","1880","1.96","1.96","0","667","4100","4820","1090","931301"
"2023-04-18 14:02:45","1681801365000","0","0","0","0.038","0.024","0.04","0.11","329","27.3","502","112","2440","0","0.0224","1610","0","2450","1610","0","0.0108","2450","0","1610","1.91","1.91","0","625","4059.9999999999995","4810","1040","926301"
"2023-04-18 14:02:50","1681801370000","0","0","0","0.034","0.013999999999999999","0.034","0.068","329","27.3","502","112","1260","0","0","817","0","1270","817","0","0","1270","0","817","1.8","1.8","0","554","3870","4780","929","921301"
"2023-04-18 14:02:55","1681801375000","0","0","0","0.032","0.027999999999999997","0.034","0.04","333","27.3","502","108","231","0","0.034","264","0","239","263","0","0.0216","241","0","263","1.76","1.76","0","495","3990","4800","918","916301"
"2023-04-18 14:03:00","1681801380000","0","0","0","0.038","0.036000000000000004","0.057999999999999996","0.054000000000000006","333","27.3","502","108","352","0","0.012","331","0","364","331","0","0.008400000000000001","366","0","331","1.71","1.71","0","571","4019.9999999999995","4800","967","911301"
"2023-04-18 14:03:05","1681801385000","0","0","0","0.038","0.024","0.052000000000000005","0.14400000000000002","333","27.3","502","108","4019.9999999999995","0","0","2500","0","4030.0000000000005","2500","0","0","4030.0000000000005","0","2500","1.64","1.64","0","571","3980","4800","956","906301"
"2023-04-18 14:03:10","1681801390000","0","0","0","0.042","0.03","0.06","0.057999999999999996","333","27.3","502","108","378","0","0.033600000000000005","357","0","390","357","0","0.03","392","0","357","1.62","1.62","0","625","4070.0000000000005","4810","995","901301"
"2023-04-18 14:03:15","1681801395000","0","0","0","0.026000000000000002","0.016","0.046","0.098","333","27.3","502","108","2240","0","0.0788","1440","0","2250","1440","0","0.0624","2250","0","1440","1.56","1.56","0","553","4019.9999999999995","4800","985","896301"
"2023-04-18 14:03:20","1681801400000","0","0","0","0.02","0.012","0.026000000000000002","0.14","333","27.3","502","108","4070.0000000000005","0","0","2500","0","4080","2500","0","0","4080","0","2500","1.51","1.51","0","495","3960","4790","955","891301"
"2023-04-18 14:03:25","1681801405000","0","0","0","0.026000000000000002","0.03","0.038","0.092","333","27.3","502","108","2029.9999999999998","0","0","1330","0","2029.9999999999998","1330","0","0","2040","0","1330","1.47","1.47","0","445","4080","4820","916","886301"
"2023-04-18 14:03:30","1681801410000","0","0","0","0.027999999999999997","0.034","0.052000000000000005","0.07200000000000001","333","27.3","502","108","1110","0","0.033600000000000005","772","0","1120","772","0","0.0216","1120","0","772","1.42","1.42","0","477","4190","4840","970","881301"
"2023-04-18 14:03:35","1681801415000","0","0","0","0.052000000000000005","0.042","0.046","0.078","333","27.3","502","108","1220","0","0.012","828","0","1230","828","0","0.008400000000000001","1230","0","828","1.47","1.47","0","515","4280","4860","1020","876301"
"2023-04-18 14:03:40","1681801420000","0","0","0","0.008","0.006","0.018000000000000002","0.064","333","27.3","502","108","2080","0","0.0116","1290","0","2080","1290","0","0.0108","2080","0","1290","1.47","1.47","0","484","4220","4840","998","871301"
"2023-04-18 14:03:45","1681801425000","0","0","0","0.026000000000000002","0.026000000000000002","0.046","0.11199999999999999","330","27.3","502","110","3020","0","0","1960","0","3030","1960","0","0","3030","0","1960","1.49","1.49","0","467","4150","4830","952","866301"
"2023-04-18 14:03:50","1681801430000","0","0","0","0.052000000000000005","0.026000000000000002","0.057999999999999996","0.122","324","27.3","502","117","2510","0","0","1650","0","2520","1650","0","0","2520","0","1650","1.42","1.42","0","458","4110","4820","940","861301"
"2023-04-18 14:03:55","1681801435000","0","0","0","0.013999999999999999","0.01","0.026000000000000002","0.142","324","27.3","502","117","4019.9999999999995","0","0","3060","0","4019.9999999999995","3060","0","0","4019.9999999999995","0","3060","1.49","1.49","0","489","4210","4840","1020","856301"
"2023-04-18 14:04:00","1681801440000","0","0","0","0.022000000000000002","0.022000000000000002","0.038","0.09","332","27.3","502","109","3140","0","0.0228","1380","0","3150","1380","0","0.0216","3150","0","1380","1.45","1.45","0","467","4170","4830","948","851301"
"2023-04-18 14:04:05","1681801445000","0","0","0","0.013999999999999999","0.01","0.013999999999999999","0.068","332","27.3","502","109","1990","0","0.012","1220","0","2000","1220","0","0.008400000000000001","2000","0","1220","1.47","1.47","0","435","4080","4820","880","846301"
"2023-04-18 14:04:10","1681801450000","0","0","0","0.034","0.038","0.05","0.046","332","27.3","502","109","275","0","0.05","265","0","284","265","0","0.052000000000000005","286","0","265","1.45","1.45","0","430","4000","4800","829","841301"
"2023-04-18 14:04:15","1681801455000","0","0","0","0.044000000000000004","0.038","0.057999999999999996","0.084","332","27.3","502","109","1390","0","0.033600000000000005","970","0","1400","970","0","0.03","1400","0","970","1.45","1.45","0","443","4000","4800","854","836301"
"2023-04-18 14:04:20","1681801460000","0","0","0","0.038","0.018000000000000002","0.046","0.1","332","27.3","502","109","2360","0","0","1510","0","2370","1510","0","0","2370","0","1510","1.4","1.4","0","482","4040","4810","902","831301"
"2023-04-18 14:04:25","1681801465000","0","0","0","0.032","0.024","0.036000000000000004","0.057999999999999996","332","27.3","502","109","1120","0","0.0112","813","0","1130","813","0","0.0108","1140","0","813","1.47","1.47","0","462","4080","4820","909","826301"
"2023-04-18 14:04:30","1681801470000","0","0","0","0.013999999999999999","0.01","0.013999999999999999","0.132","332","27.3","502","109","4910","0","0.113","2980","0","4920","2980","0","0.579","4920","0","2980","1.45","1.45","0","458","4000","4800","892","821301"
"2023-04-18 14:04:35","1681801475000","0","0","0","0.022000000000000002","0.016","0.03","0.10400000000000001","332","27.3","502","109","2930","0","0.0112","1870","0","2940","1870","0","0","2940","0","1870","1.45","1.45","0","442","3890","4780","843","816301"
"2023-04-18 14:04:40","1681801480000","0","0","0","0.032","0.013999999999999999","0.027999999999999997","0.066","332","27.3","502","109","2130","0","0.0224","1360","0","2140","1360","0","0.0108","2140","0","1360","1.44","1.44","0","433","4010","4800","859","811301"
"2023-04-18 14:04:45","1681801485000","0","0","0","0.032","0.018000000000000002","0.026000000000000002","0.07400000000000001","332","27.3","502","109","1420","0","0","1250","0","1430","1250","0","0","1430","0","1250","1.45","1.45","0","435","4000","4800","862","806301"
"2023-04-18 14:04:50","1681801490000","0","0","0","0.022000000000000002","0.006","0.032","0.05","330","27.3","502","111","1650","0","0","712","0","1650","712","0","0","1650","0","712","1.44","1.44","0","406","3900","4780","769","801301"
"2023-04-18 14:04:55","1681801495000","0","0","0","0.024","0.026000000000000002","0.036000000000000004","0.05","330","27.3","502","111","200","0","0","203","0","207","203","0","0","209","0","203","1.47","1.47","0","401","3990","4800","784","796301"
"2023-04-18 14:05:00","1681801500000","0","0","0","0.048","0.03","0.055999999999999994","0.12","330","27.3","502","111","2350","0","0","2250","0","2360","2250","0","0","2370","0","2250","1.4","1.4","0","406","4040","4810","807","791301"
"2023-04-18 14:05:05","1681801505000","0","0","0","0.016","0.013999999999999999","0.016","0.114","330","27.3","502","111","4270","0","0","1940","0","4270","1940","0","0","4270","0","1940","1.44","1.44","0","443","4100","4820","882","786301"
"2023-04-18 14:05:10","1681801510000","0","0","0","0.032","0.018000000000000002","0.036000000000000004","0.08800000000000001","330","27.3","502","111","2120","0","0.033600000000000005","1400","0","2130","1400","0","0.03","2130","0","1400","1.44","1.44","0","435","4100","4820","844","781301"
"2023-04-18 14:05:15","1681801515000","0","0","0","0.042","0.024","0.04","0.05","330","27.3","502","111","341","0","0.0456","322","0","352","322","0","0.0384","354","0","322","1.45","1.45","0","437","4000","4800","821","776301"
"2023-04-18 14:05:20","1681801520000","0","0","0","0.034","0.024","0.04","0.066","330","27.3","502","111","1340","0","0","865","0","1340","865","0","0","1340","0","865","1.44","1.44","0","453","3900","4780","826","771301"
"2023-04-18 14:05:25","1681801525000","0","0","0","0.012","0.01","0.012","0.032","330","27.3","502","111","1010","0","0","620","0","1010","620","0","0","1010","0","620","1.45","1.45","0","435","3750","4750","807","766301"
"2023-04-18 14:05:30","1681801530000","0","0","0","0.018000000000000002","0.01","0.024","0.08199999999999999","327","27.3","502","113","2100","0","0","1350","0","2110","1350","0","0","2110","0","1350","1.44","1.44","0","451","3770","4750","810","761301"
"2023-04-18 14:05:35","1681801535000","0","0","0","0.024","0.022000000000000002","0.036000000000000004","0.096","327","27.3","502","113","2890","0","0","1790","0","2900","1790","0","0","2900","0","1790","1.45","1.45","0","447","3750","4750","811","756301"
"2023-04-18 14:05:40","1681801540000","0","0","0","0.013999999999999999","0.018000000000000002","0.027999999999999997","0.034","327","27.3","502","113","148","0","0.08940000000000001","127","0","152","127","0","0.095","154","0","127","1.47","1.47","0","435","3550","4710","787","751301"
"2023-04-18 14:05:45","1681801545000","0","0","0","0.01","0.004","0.004","0.14","327","27.3","502","113","4460","0","0.019600000000000003","2970","0","4460","2970","0","0.019600000000000003","4460","0","2970","1.45","1.45","0","409","3570","4710","774","746301"
"2023-04-18 14:05:50","1681801550000","0","0","0","0.026000000000000002","0.01","0.027999999999999997","0.09","327","27.3","502","113","3510","0","0.08120000000000001","1950","0","3520","1950","0","0.0696","3520","0","1950","1.45","1.45","0","400","3330","4670","747","741301"
