"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","total-req-rate","ok-req-rate","error-req-rate","latency-50-percentile","latency-95-percentile","latency-99-percentile","avg-res-time","TimeToFail"
"2023-04-18 13:59:10","1681801150000","0%","0%","0%","0%","0.200%","0.200%","0.200%","311 MiB","27.5 MiB","508 MiB","124 MiB","362 kB/s","0 kB/s","56.8 kB/s","180 kB/s","0 kB/s","365 kB/s","83.4 kB/s","0 kB/s","49.2 kB/s","2.25 MB/s","0 kB/s","83.4 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.41 ms","1141301"
"2023-04-18 13:59:15","1681801155000","0%","0%","0%","0%","0%","0.200%","0%","311 MiB","27.5 MiB","508 MiB","124 MiB","373 kB/s","0 kB/s","45.2 kB/s","206 kB/s","0 kB/s","379 kB/s","96.6 kB/s","0 kB/s","40.8 kB/s","2.28 MB/s","0 kB/s","96.6 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.37 ms","1136301"
"2023-04-18 13:59:20","1681801160000","0%","0%","0%","0%","0%","0.200%","0.400%","311 MiB","27.5 MiB","508 MiB","124 MiB","368 kB/s","0 kB/s","38.8 kB/s","210 kB/s","0 kB/s","373 kB/s","91.8 kB/s","0 kB/s","32.4 kB/s","2.28 MB/s","0 kB/s","91.8 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.36 ms","1131301"
"2023-04-18 13:59:25","1681801165000","0%","0%","0%","0%","0.200%","0%","0.400%","311 MiB","27.5 MiB","508 MiB","124 MiB","363 kB/s","0 kB/s","0 kB/s","193 kB/s","0 kB/s","366 kB/s","83.4 kB/s","0 kB/s","0 kB/s","2.27 MB/s","0 kB/s","83.4 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.36 ms","1126301"
"2023-04-18 13:59:30","1681801170000","0%","0%","0%","0%","0%","0.200%","0.200%","311 MiB","27.5 MiB","508 MiB","124 MiB","373 kB/s","0 kB/s","0 kB/s","193 kB/s","0 kB/s","378 kB/s","96.6 kB/s","0 kB/s","0 kB/s","2.27 MB/s","0 kB/s","96.6 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.38 ms","1121301"
"2023-04-18 13:59:35","1681801175000","0%","0%","0%","0%","0.200%","0.400%","0.200%","311 MiB","27.5 MiB","508 MiB","124 MiB","362 kB/s","0 kB/s","11.2 kB/s","193 kB/s","0 kB/s","365 kB/s","83.4 kB/s","0 kB/s","15.4 kB/s","2.27 MB/s","0 kB/s","83.4 kB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.37 ms","1116301"
"2023-04-18 13:59:40","1681801180000","0%","0%","0%","0%","0%","0.200%","0.400%","311 MiB","27.5 MiB","508 MiB","124 MiB","3.51 MB/s","0 kB/s","23.2 kB/s","3.48 MB/s","0 kB/s","3.71 MB/s","3.37 MB/s","0 kB/s","19.2 kB/s","5.61 MB/s","0 kB/s","3.37 MB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.39 ms","1111301"
"2023-04-18 13:59:45","1681801185000","0%","0%","0%","8.60%","5.40%","10%","23.4%","340 MiB","27.3 MiB","502 MiB","100 MiB","5.52 GB/s","0 kB/s","0 kB/s","3.71 GB/s","0 kB/s","5.55 GB/s","3.71 GB/s","0 kB/s","0 kB/s","5.55 GB/s","0 kB/s","3.71 GB/s","0.200 req/s","0.200 req/s","0 req/s","2.50 ms","4.75 ms","4.95 ms","1.38 ms","1106301"
"2023-04-18 13:59:50","1681801190000","0%","0%","0%","6.80%","3.40%","5.80%","17.4%","340 MiB","27.3 MiB","502 MiB","100 MiB","4.71 GB/s","0 kB/s","22.4 kB/s","2.93 GB/s","0 kB/s","4.73 GB/s","2.93 GB/s","0 kB/s","10.8 kB/s","4.73 GB/s","0 kB/s","2.93 GB/s","0.428 req/s","0.428 req/s","0 req/s","587 ms","2.28 s","2.46 s","766 ms","1101301"
"2023-04-18 13:59:55","1681801195000","0%","0%","0%","6.00%","3.20%","5.80%","19.0%","337 MiB","27.3 MiB","502 MiB","103 MiB","5.49 GB/s","0 kB/s","0 kB/s","3.47 GB/s","0 kB/s","5.51 GB/s","3.47 GB/s","0 kB/s","0 kB/s","5.51 GB/s","0 kB/s","3.47 GB/s","0.838 req/s","0.838 req/s","0 req/s","1.21 s","8.17 s","9.63 s","2.06 s","1096301"
