"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","vetha44c48b receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","vetha44c48b transmit"
2023-04-18 13:59:10,362 kB/s,0 kB/s,56.8 kB/s,180 kB/s,0 kB/s,365 kB/s,83.4 kB/s,0 kB/s,49.2 kB/s,2.25 MB/s,0 kB/s,83.4 kB/s
2023-04-18 13:59:15,373 kB/s,0 kB/s,45.2 kB/s,206 kB/s,0 kB/s,379 kB/s,96.6 kB/s,0 kB/s,40.8 kB/s,2.28 MB/s,0 kB/s,96.6 kB/s
2023-04-18 13:59:20,368 kB/s,0 kB/s,38.8 kB/s,210 kB/s,0 kB/s,373 kB/s,91.8 kB/s,0 kB/s,32.4 kB/s,2.28 MB/s,0 kB/s,91.8 kB/s
2023-04-18 13:59:25,363 kB/s,0 kB/s,0 kB/s,193 kB/s,0 kB/s,366 kB/s,83.4 kB/s,0 kB/s,0 kB/s,2.27 MB/s,0 kB/s,83.4 kB/s
2023-04-18 13:59:30,373 kB/s,0 kB/s,0 kB/s,193 kB/s,0 kB/s,378 kB/s,96.6 kB/s,0 kB/s,0 kB/s,2.27 MB/s,0 kB/s,96.6 kB/s
2023-04-18 13:59:35,362 kB/s,0 kB/s,11.2 kB/s,193 kB/s,0 kB/s,365 kB/s,83.4 kB/s,0 kB/s,15.4 kB/s,2.27 MB/s,0 kB/s,83.4 kB/s
2023-04-18 13:59:40,3.51 MB/s,0 kB/s,23.2 kB/s,3.48 MB/s,0 kB/s,3.71 MB/s,3.37 MB/s,0 kB/s,19.2 kB/s,5.61 MB/s,0 kB/s,3.37 MB/s
2023-04-18 13:59:45,5.52 GB/s,0 kB/s,0 kB/s,3.71 GB/s,0 kB/s,5.55 GB/s,3.71 GB/s,0 kB/s,0 kB/s,5.55 GB/s,0 kB/s,3.71 GB/s
2023-04-18 13:59:50,4.71 GB/s,0 kB/s,22.4 kB/s,2.93 GB/s,0 kB/s,4.73 GB/s,2.93 GB/s,0 kB/s,10.8 kB/s,4.73 GB/s,0 kB/s,2.93 GB/s
2023-04-18 13:59:55,5.49 GB/s,0 kB/s,0 kB/s,3.47 GB/s,0 kB/s,5.51 GB/s,3.47 GB/s,0 kB/s,0 kB/s,5.51 GB/s,0 kB/s,3.47 GB/s
2023-04-18 14:00:00,3.11 GB/s,0 kB/s,0 kB/s,1.99 GB/s,0 kB/s,3.12 GB/s,1.99 GB/s,0 kB/s,0 kB/s,3.12 GB/s,0 kB/s,1.99 GB/s
2023-04-18 14:00:05,2.28 GB/s,0 kB/s,22.4 kB/s,1.40 GB/s,0 kB/s,2.29 GB/s,1.40 GB/s,0 kB/s,10.8 kB/s,2.29 GB/s,0 kB/s,1.40 GB/s
2023-04-18 14:00:10,1.13 GB/s,0 kB/s,45.6 kB/s,818 MB/s,0 kB/s,1.13 GB/s,818 MB/s,0 kB/s,38.4 kB/s,1.14 GB/s,0 kB/s,818 MB/s
2023-04-18 14:00:15,1.30 GB/s,0 kB/s,33.6 kB/s,872 MB/s,0 kB/s,1.32 GB/s,872 MB/s,0 kB/s,30 kB/s,1.32 GB/s,0 kB/s,872 MB/s
2023-04-18 14:00:20,3.21 GB/s,0 kB/s,0 kB/s,2.01 GB/s,0 kB/s,3.21 GB/s,2.01 GB/s,0 kB/s,0 kB/s,3.22 GB/s,0 kB/s,2.01 GB/s
2023-04-18 14:00:25,1.30 GB/s,0 kB/s,0 kB/s,901 MB/s,0 kB/s,1.31 GB/s,901 MB/s,0 kB/s,0 kB/s,1.31 GB/s,0 kB/s,901 MB/s
2023-04-18 14:00:30,3.01 GB/s,0 kB/s,113 kB/s,1.88 GB/s,0 kB/s,3.02 GB/s,1.88 GB/s,0 kB/s,581 kB/s,3.02 GB/s,0 kB/s,1.88 GB/s
2023-04-18 14:00:35,2.77 GB/s,0 kB/s,0 kB/s,1.72 GB/s,0 kB/s,2.77 GB/s,1.72 GB/s,0 kB/s,0 kB/s,2.77 GB/s,0 kB/s,1.72 GB/s
