"Time","avg-res-time"
2023-04-18 13:59:10,1.41 ms
2023-04-18 13:59:15,1.37 ms
2023-04-18 13:59:20,1.36 ms
2023-04-18 13:59:25,1.36 ms
2023-04-18 13:59:30,1.38 ms
2023-04-18 13:59:35,1.37 ms
2023-04-18 13:59:40,1.39 ms
2023-04-18 13:59:45,1.38 ms
2023-04-18 13:59:50,766 ms
2023-04-18 13:59:55,2.06 s
2023-04-18 14:00:00,1.57 s
2023-04-18 14:00:05,1.40 s
2023-04-18 14:00:10,1.38 s
2023-04-18 14:00:15,1.39 s
2023-04-18 14:00:20,1.41 s
2023-04-18 14:00:25,1.33 s
2023-04-18 14:00:30,1.32 s
2023-04-18 14:00:35,1.31 s
2023-04-18 14:00:40,1.26 s
2023-04-18 14:00:45,1.18 s
2023-04-18 14:00:50,1.00 s
2023-04-18 14:00:55,957 ms
2023-04-18 14:01:00,905 ms
2023-04-18 14:01:05,833 ms
2023-04-18 14:01:10,776 ms
2023-04-18 14:01:15,763 ms
2023-04-18 14:01:20,782 ms
2023-04-18 14:01:25,727 ms
2023-04-18 14:01:30,679 ms
2023-04-18 14:01:35,683 ms
2023-04-18 14:01:40,688 ms
2023-04-18 14:01:45,685 ms
2023-04-18 14:01:50,776 ms
2023-04-18 14:01:55,929 ms
2023-04-18 14:02:00,1.00 s
2023-04-18 14:02:05,962 ms
2023-04-18 14:02:10,961 ms
2023-04-18 14:02:15,964 ms
2023-04-18 14:02:20,1.02 s
2023-04-18 14:02:25,1.09 s
2023-04-18 14:02:30,1.13 s
2023-04-18 14:02:35,1.12 s
2023-04-18 14:02:40,1.09 s
2023-04-18 14:02:45,1.04 s
2023-04-18 14:02:50,929 ms
2023-04-18 14:02:55,918 ms
2023-04-18 14:03:00,967 ms
2023-04-18 14:03:05,956 ms
2023-04-18 14:03:10,995 ms
2023-04-18 14:03:15,985 ms
2023-04-18 14:03:20,955 ms
2023-04-18 14:03:25,916 ms
2023-04-18 14:03:30,970 ms
2023-04-18 14:03:35,1.02 s
2023-04-18 14:03:40,998 ms
2023-04-18 14:03:45,952 ms
2023-04-18 14:03:50,940 ms
2023-04-18 14:03:55,1.02 s
2023-04-18 14:04:00,948 ms
2023-04-18 14:04:05,880 ms
2023-04-18 14:04:10,829 ms
2023-04-18 14:04:15,854 ms
2023-04-18 14:04:20,902 ms
2023-04-18 14:04:25,909 ms
2023-04-18 14:04:30,892 ms
2023-04-18 14:04:35,843 ms
2023-04-18 14:04:40,859 ms
2023-04-18 14:04:45,862 ms
2023-04-18 14:04:50,769 ms
2023-04-18 14:04:55,784 ms
2023-04-18 14:05:00,807 ms
2023-04-18 14:05:05,882 ms
2023-04-18 14:05:10,844 ms
2023-04-18 14:05:15,821 ms
2023-04-18 14:05:20,826 ms
2023-04-18 14:05:25,807 ms
2023-04-18 14:05:30,810 ms
2023-04-18 14:05:35,811 ms
2023-04-18 14:05:40,787 ms
2023-04-18 14:05:45,774 ms
2023-04-18 14:05:50,747 ms
2023-04-18 14:05:55,721 ms
2023-04-18 14:06:00,663 ms
2023-04-18 14:06:05,663 ms
2023-04-18 14:06:10,708 ms
2023-04-18 14:06:15,623 ms
2023-04-18 14:06:20,609 ms
2023-04-18 14:06:25,658 ms
2023-04-18 14:06:30,674 ms
2023-04-18 14:06:35,697 ms
2023-04-18 14:06:40,690 ms
2023-04-18 14:06:45,707 ms
2023-04-18 14:06:50,699 ms
2023-04-18 14:06:55,768 ms
2023-04-18 14:07:00,723 ms
2023-04-18 14:07:05,642 ms
2023-04-18 14:07:10,685 ms
2023-04-18 14:07:15,661 ms
2023-04-18 14:07:20,626 ms
2023-04-18 14:07:25,592 ms
2023-04-18 14:07:30,543 ms
2023-04-18 14:07:35,538 ms
2023-04-18 14:07:40,557 ms
2023-04-18 14:07:45,549 ms
2023-04-18 14:07:50,397 ms
2023-04-18 14:07:55,454 ms
2023-04-18 14:08:00,462 ms
2023-04-18 14:08:05,455 ms
2023-04-18 14:08:10,544 ms
2023-04-18 14:08:15,531 ms
2023-04-18 14:08:20,540 ms
2023-04-18 14:08:25,539 ms
2023-04-18 14:08:30,565 ms
2023-04-18 14:08:35,529 ms
2023-04-18 14:08:40,515 ms
2023-04-18 14:08:45,490 ms
2023-04-18 14:08:50,447 ms
2023-04-18 14:08:55,441 ms
2023-04-18 14:09:00,438 ms
2023-04-18 14:09:05,363 ms
2023-04-18 14:09:10,425 ms
2023-04-18 14:09:15,470 ms
2023-04-18 14:09:20,501 ms
2023-04-18 14:09:25,480 ms
2023-04-18 14:09:30,512 ms
2023-04-18 14:09:35,553 ms
2023-04-18 14:09:40,558 ms
2023-04-18 14:09:45,536 ms
2023-04-18 14:09:50,533 ms
2023-04-18 14:09:55,511 ms
2023-04-18 14:10:00,499 ms
2023-04-18 14:10:05,449 ms
2023-04-18 14:10:10,378 ms
2023-04-18 14:10:15,501 ms
2023-04-18 14:10:20,601 ms
2023-04-18 14:10:25,632 ms
2023-04-18 14:10:30,600 ms
2023-04-18 14:10:35,607 ms
2023-04-18 14:10:40,618 ms
2023-04-18 14:10:45,633 ms
2023-04-18 14:10:50,613 ms
2023-04-18 14:10:55,691 ms
2023-04-18 14:11:00,687 ms
2023-04-18 14:11:05,687 ms
2023-04-18 14:11:10,497 ms
2023-04-18 14:11:15,351 ms
2023-04-18 14:11:20,233 ms
2023-04-18 14:11:25,231 ms
2023-04-18 14:11:30,357 ms
2023-04-18 14:11:35,342 ms
2023-04-18 14:11:40,340 ms
2023-04-18 14:11:45,373 ms
2023-04-18 14:11:50,280 ms
2023-04-18 14:11:55,279 ms
2023-04-18 14:12:00,284 ms
2023-04-18 14:12:05,396 ms
2023-04-18 14:12:10,396 ms
2023-04-18 14:12:15,396 ms
2023-04-18 14:12:20,394 ms
2023-04-18 14:12:25,270 ms
2023-04-18 14:12:30,273 ms
2023-04-18 14:12:35,338 ms
2023-04-18 14:12:40,312 ms
2023-04-18 14:12:45,312 ms
2023-04-18 14:12:50,360 ms
2023-04-18 14:12:55,346 ms
2023-04-18 14:13:00,237 ms
2023-04-18 14:13:05,247 ms
2023-04-18 14:13:10,247 ms
2023-04-18 14:13:15,239 ms
2023-04-18 14:13:20,414 ms
2023-04-18 14:13:25,533 ms
2023-04-18 14:13:30,452 ms
2023-04-18 14:13:35,568 ms
2023-04-18 14:13:40,648 ms
2023-04-18 14:13:45,882 ms
2023-04-18 14:13:50,843 ms
2023-04-18 14:13:55,804 ms
2023-04-18 14:14:00,864 ms
2023-04-18 14:14:05,904 ms
2023-04-18 14:14:10,895 ms
2023-04-18 14:14:15,850 ms
2023-04-18 14:14:20,797 ms
2023-04-18 14:14:25,783 ms
2023-04-18 14:14:30,772 ms
2023-04-18 14:14:35,790 ms
2023-04-18 14:14:40,668 ms
2023-04-18 14:14:45,667 ms
2023-04-18 14:14:50,679 ms
2023-04-18 14:14:55,611 ms
2023-04-18 14:15:00,556 ms
2023-04-18 14:15:05,543 ms
2023-04-18 14:15:10,523 ms
2023-04-18 14:15:15,505 ms
2023-04-18 14:15:20,517 ms
2023-04-18 14:15:25,517 ms
2023-04-18 14:15:30,470 ms
2023-04-18 14:15:35,517 ms
2023-04-18 14:15:40,514 ms
2023-04-18 14:15:45,531 ms
2023-04-18 14:15:50,584 ms
2023-04-18 14:15:55,581 ms
2023-04-18 14:16:00,564 ms
2023-04-18 14:16:05,550 ms
2023-04-18 14:16:10,583 ms
2023-04-18 14:16:15,601 ms
2023-04-18 14:16:20,659 ms
2023-04-18 14:16:25,677 ms
2023-04-18 14:16:30,617 ms
2023-04-18 14:16:35,678 ms
2023-04-18 14:16:40,686 ms
2023-04-18 14:16:45,649 ms
2023-04-18 14:16:50,648 ms
2023-04-18 14:16:55,656 ms
2023-04-18 14:17:00,689 ms
2023-04-18 14:17:05,696 ms
2023-04-18 14:17:10,729 ms
2023-04-18 14:17:15,707 ms
2023-04-18 14:17:20,741 ms
2023-04-18 14:17:25,750 ms
2023-04-18 14:17:30,706 ms
2023-04-18 14:17:35,849 ms
2023-04-18 14:17:40,1.14 s
2023-04-18 14:17:45,1.26 s
2023-04-18 14:17:50,1.35 s
2023-04-18 14:17:55,1.51 s
