"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 13:59:10,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:15,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:20,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:25,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:30,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:35,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:40,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:45,0.200 req/s,0.200 req/s,0 req/s
2023-04-18 13:59:50,0.428 req/s,0.428 req/s,0 req/s
2023-04-18 13:59:55,0.838 req/s,0.838 req/s,0 req/s
2023-04-18 14:00:00,0.967 req/s,0.967 req/s,0 req/s
2023-04-18 14:00:05,1.09 req/s,1.09 req/s,0 req/s
2023-04-18 14:00:10,1.24 req/s,1.24 req/s,0 req/s
2023-04-18 14:00:15,1.38 req/s,1.38 req/s,0 req/s
2023-04-18 14:00:20,1.55 req/s,1.55 req/s,0 req/s
2023-04-18 14:00:25,1.70 req/s,1.70 req/s,0 req/s
2023-04-18 14:00:30,1.85 req/s,1.85 req/s,0 req/s
2023-04-18 14:00:35,2.03 req/s,2.03 req/s,0 req/s
2023-04-18 14:00:40,2.17 req/s,2.17 req/s,0 req/s
2023-04-18 14:00:45,2.15 req/s,2.15 req/s,0 req/s
2023-04-18 14:00:50,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 14:00:55,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 14:01:00,2.13 req/s,2.13 req/s,0 req/s
2023-04-18 14:01:05,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 14:01:10,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 14:01:15,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 14:01:20,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:01:25,2.13 req/s,2.13 req/s,0 req/s
2023-04-18 14:01:30,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 14:01:35,2.05 req/s,2.05 req/s,0 req/s
2023-04-18 14:01:40,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 14:01:45,2.04 req/s,2.04 req/s,0 req/s
2023-04-18 14:01:50,2.04 req/s,2.04 req/s,0 req/s
2023-04-18 14:01:55,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:02:00,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:02:05,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:02:10,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:02:15,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 14:02:20,2.04 req/s,2.04 req/s,0 req/s
2023-04-18 14:02:25,2.04 req/s,2.04 req/s,0 req/s
2023-04-18 14:02:30,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 14:02:35,2.02 req/s,2.02 req/s,0 req/s
2023-04-18 14:02:40,1.96 req/s,1.96 req/s,0 req/s
2023-04-18 14:02:45,1.91 req/s,1.91 req/s,0 req/s
2023-04-18 14:02:50,1.80 req/s,1.80 req/s,0 req/s
2023-04-18 14:02:55,1.76 req/s,1.76 req/s,0 req/s
2023-04-18 14:03:00,1.71 req/s,1.71 req/s,0 req/s
2023-04-18 14:03:05,1.64 req/s,1.64 req/s,0 req/s
2023-04-18 14:03:10,1.62 req/s,1.62 req/s,0 req/s
2023-04-18 14:03:15,1.56 req/s,1.56 req/s,0 req/s
2023-04-18 14:03:20,1.51 req/s,1.51 req/s,0 req/s
2023-04-18 14:03:25,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:03:30,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 14:03:35,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:03:40,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:03:45,1.49 req/s,1.49 req/s,0 req/s
2023-04-18 14:03:50,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 14:03:55,1.49 req/s,1.49 req/s,0 req/s
2023-04-18 14:04:00,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:05,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:04:10,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:15,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:20,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 14:04:25,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:04:30,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:35,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:04:45,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:04:50,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:04:55,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:05:00,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 14:05:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:05:10,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:05:15,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:05:20,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:05:25,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:05:30,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:05:35,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:05:40,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:05:45,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:05:50,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:05:55,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:06:00,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:06:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:06:10,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:06:15,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 14:06:20,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:06:25,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:06:30,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:06:35,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 14:06:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 14:06:45,1.45 req/s,1.45 req/s,0 req/s
