timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685013206076,3595,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,13206,179,8,8,https://rcie.nuttchai.app/api/v1/search?offset=10201&limit=47&isHiddenRequired=true,3571,0,2616
1685013208021,1954,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-5,text,true,,7063,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=35260&limit=24&isHiddenRequired=true,1953,0,671
1685013207487,3766,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-4,text,true,,60318,321,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=47126&limit=219,3699,0,1206
1685013209089,2256,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-7,text,true,,61104,324,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=42623&limit=220,2192,0,121
1685013208557,2904,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-6,text,true,,104484,316,7,7,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=5789&limit=385,2805,0,143
1685013206955,4653,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-3,text,true,,4972849,182,6,6,https://rcie.nuttchai.app/api/v1/search?offset=13547&limit=17811&isHiddenRequired=true,3337,0,1737
1685013211225,420,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,10480,179,5,5,https://rcie.nuttchai.app/api/v1/search?offset=25248&limit=35&isHiddenRequired=true,387,0,123
1685013209622,2089,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-8,text,true,,4591833,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=1405&limit=16568&isHiddenRequired=true,1113,0,114
1685013206423,5555,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-2,text,true,,4560255,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=13672&limit=16339&isHiddenRequired=true,3824,0,2270
1685013210154,2035,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-9,text,true,,136137,334,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=18069&limit=472,1944,0,113
1685013212292,399,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-13,text,true,,5377,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=22156&limit=18&isHiddenRequired=true,398,0,125
1685013210691,2282,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-10,text,true,,58584,334,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=41418&limit=202,2220,0,1121
1685013211756,1804,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-12,text,true,,4456200,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=21521&limit=15955&isHiddenRequired=true,656,0,126
1685013212825,1492,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-14,text,true,,4521564,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=17074&limit=16176&isHiddenRequired=true,415,0,115
1685013213894,958,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-16,text,true,,4151877,181,3,3,https://rcie.nuttchai.app/api/v1/search?offset=2903&limit=15012&isHiddenRequired=true,528,0,118
1685013213358,1979,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-15,text,true,,144768,320,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=19091&limit=528,1885,0,111
1685013214958,429,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-18,text,true,,11835,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=37361&limit=42&isHiddenRequired=true,397,0,160
1685013214426,1388,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-17,text,true,,4471642,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=25779&limit=16048&isHiddenRequired=true,527,0,125
1685013215491,900,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-19,text,true,,4319887,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=20644&limit=15462&isHiddenRequired=true,479,0,119
1685013216024,377,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-20,text,true,,22850,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=30635&limit=82&isHiddenRequired=true,342,0,121
1685013216557,981,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-21,text,true,,4926826,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=26443&limit=17715&isHiddenRequired=true,454,0,116
1685013217091,1330,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-22,text,true,,4321843,181,3,3,https://rcie.nuttchai.app/api/v1/search?offset=4938&limit=15614&isHiddenRequired=true,410,0,112
1685013218158,424,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-24,text,true,,14374,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=44438&limit=48&isHiddenRequired=true,391,0,124
1685013217624,2115,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-23,text,true,,203962,320,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=27284&limit=748,2019,0,115
1685013219223,1027,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-26,text,true,,42685,323,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=35867&limit=154,958,0,147
1685013219757,1969,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-27,text,true,,4672075,181,5,5,https://rcie.nuttchai.app/api/v1/search?offset=3706&limit=16862&isHiddenRequired=true,811,0,124
1685013218693,3047,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-25,text,true,,265101,328,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=5159&limit=936,2912,0,121
1685013221358,540,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-30,text,true,,4440,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=35162&limit=14&isHiddenRequired=true,540,0,178
1685013220827,1099,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-29,text,true,,54956,326,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=42588&limit=196,1036,0,131
1685013221891,378,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-31,text,true,,17289,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=41162&limit=62&isHiddenRequired=true,348,0,122
1685013220294,1978,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-28,text,true,,154183,325,1,1,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=27946&limit=554,1869,0,143
1685013222424,362,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-32,text,true,,24923,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=40655&limit=89&isHiddenRequired=true,331,0,120
1685013222961,1761,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-33,text,true,,5222673,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=8156&limit=18747&isHiddenRequired=true,464,0,151
1685013224559,260,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-36,text,true,,26349,178,3,3,https://rcie.nuttchai.app/api/v1/search?offset=5665&limit=92&isHiddenRequired=true,230,0,109
1685013223492,1390,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-34,text,true,,4243656,181,2,2,https://rcie.nuttchai.app/api/v1/search?offset=5867&limit=15304&isHiddenRequired=true,433,0,107
1685013225093,669,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-37,text,true,,35718,319,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=13624&limit=129,635,0,121
1685013224027,1897,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-35,text,true,,5472569,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=28936&limit=19636&isHiddenRequired=true,466,0,129
1685013225629,357,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-38,text,true,,27123,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=13580&limit=97&isHiddenRequired=true,323,0,127
1685013226164,430,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-39,text,true,,22372,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=28712&limit=79&isHiddenRequired=true,397,0,154
1685013226694,1399,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-40,text,true,,4211379,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=24154&limit=15151&isHiddenRequired=true,431,0,111
1685013227763,473,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-42,text,true,,15536,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=43468&limit=56&isHiddenRequired=true,441,0,140
1685013228294,305,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-43,text,true,,13700,178,2,2,https://rcie.nuttchai.app/api/v1/search?offset=2290&limit=47&isHiddenRequired=true,272,0,117
1685013228828,382,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-44,text,true,,5569,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=27099&limit=18&isHiddenRequired=true,382,0,117
1685013227230,2265,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-41,text,true,,214945,340,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=7131&limit=728,2134,0,145
1685013230429,630,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-47,text,true,,14208,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=34540&limit=50&isHiddenRequired=true,597,0,117
1685013229363,1699,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-45,text,true,,145069,336,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=22636&limit=501,1597,0,121
1685013231495,465,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-49,text,true,,23949,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=28413&limit=85&isHiddenRequired=true,433,0,121
1685013229895,2347,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-46,text,true,,179707,321,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=12571&limit=654,2243,0,123
1685013230962,1451,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-48,text,true,,4251538,181,2,2,https://rcie.nuttchai.app/api/v1/search?offset=6665&limit=15293&isHiddenRequired=true,474,0,117
1685013232029,710,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-50,text,true,,40369,321,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=22773&limit=146,647,0,113
1685013233096,1342,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-52,text,true,,86315,331,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=18031&limit=302,1276,0,115
1685013233630,1999,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-53,text,true,,4901555,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=16967&limit=17589&isHiddenRequired=true,627,0,122
1685013232562,3115,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-51,text,true,,256057,318,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=41226&limit=938,2815,0,117
1685013235765,506,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-57,text,true,,4780,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=27508&limit=16&isHiddenRequired=true,505,0,119
1685013234163,2421,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-54,text,true,,206449,323,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=41008&limit=742,2325,0,111
1685013234697,1889,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-55,text,true,,4291718,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=18711&limit=15389&isHiddenRequired=true,673,0,123
1685013236833,502,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-59,text,true,,23638,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=35246&limit=84&isHiddenRequired=true,416,0,116
1685013235230,2349,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-56,text,true,,200770,318,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=25127&limit=739,2246,0,114
1685013236299,1747,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-58,text,true,,5179916,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=19824&limit=18630&isHiddenRequired=true,544,0,118
1685013237366,1895,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-60,text,true,,183518,333,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=19831&limit=641,1796,0,116
1685013238968,401,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-63,text,true,,24759,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=11263&limit=87&isHiddenRequired=true,368,0,133
1685013237900,1560,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-61,text,true,,4741787,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=21740&limit=17054&isHiddenRequired=true,519,0,116
1685013239502,405,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-64,text,true,,3977,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=31592&limit=13&isHiddenRequired=true,404,0,116
1685013238433,2936,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-62,text,true,,261506,334,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=37564&limit=910,2793,0,133
1685013240569,822,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-66,text,true,,16552,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=21320&limit=60&isHiddenRequired=true,788,0,135
1685013241636,500,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-68,text,true,,22376,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=29600&limit=79&isHiddenRequired=true,469,0,110
1685013240035,2274,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-65,text,true,,154927,320,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=4618&limit=565,2178,0,115
1685013242168,1785,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-69,text,true,,4375392,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=26594&limit=15709&isHiddenRequired=true,545,0,118
1685013242725,1430,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-70,text,true,,4495731,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=29102&limit=16115&isHiddenRequired=true,541,0,112
1685013241103,3336,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-67,text,true,,227870,320,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=11580&limit=833,3143,0,117
1685013244312,420,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-73,text,true,,3940,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=43660&limit=13&isHiddenRequired=true,420,0,126
1685013243246,1917,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-71,text,true,,5294944,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=12555&limit=19000&isHiddenRequired=true,577,0,117
1685013244847,341,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-74,text,true,,20055,178,2,2,https://rcie.nuttchai.app/api/v1/search?offset=8211&limit=72&isHiddenRequired=true,310,0,112
1685013245380,382,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-75,text,true,,4801,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=13049&limit=16&isHiddenRequired=true,381,0,113
1685013243779,2530,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-72,text,true,,222673,330,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=38352&limit=783,2395,0,115
1685013246448,419,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-77,text,true,,5716,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=21546&limit=20&isHiddenRequired=true,419,0,114
1685013245913,1873,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-76,text,true,,171528,338,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=13346&limit=588,1770,0,117
1685013246981,896,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-78,text,true,,40960,335,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=15970&limit=140,827,0,152
1685013248048,350,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-80,text,true,,25577,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=12111&limit=92&isHiddenRequired=true,317,0,119
1685013247514,1954,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-79,text,true,,4937121,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=16832&limit=17724&isHiddenRequired=true,597,0,121
1685013249115,456,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-82,text,true,,14923,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=47716&limit=51&isHiddenRequired=true,422,0,112
1685013249649,483,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-83,text,true,,15309,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=25197&limit=55&isHiddenRequired=true,450,0,119
1685013248582,1781,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-81,text,true,,159767,321,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=30019&limit=578,1686,0,111
1685013250182,749,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-84,text,true,,50885,331,2,2,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=32405&limit=177,688,0,107
1685013250716,306,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-85,text,true,,8011,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=47965&limit=26&isHiddenRequired=true,306,0,118
1685013251251,304,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-86,text,true,,19912,178,1,1,https://rcie.nuttchai.app/api/v1/search?offset=5879&limit=69&isHiddenRequired=true,273,0,117
1685013251784,318,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-87,text,true,,6294,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=41899&limit=22&isHiddenRequired=true,318,0,116
1685013252339,429,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-88,text,true,,12631,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=38276&limit=43&isHiddenRequired=true,395,0,123
1685013253389,1401,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-90,text,true,,4570765,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=28722&limit=16386&isHiddenRequired=true,471,0,112
1685013254457,343,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-92,text,true,,28262,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=13718&limit=96&isHiddenRequired=true,307,0,123
1685013252857,2653,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-89,text,true,,5447383,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=12144&limit=19529&isHiddenRequired=true,478,0,117
1685013255527,1314,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-94,text,true,,4205234,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=22307&limit=15114&isHiddenRequired=true,462,0,122
1685013254993,3169,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-93,text,true,,5409697,182,6,6,https://rcie.nuttchai.app/api/v1/search?offset=28556&limit=19387&isHiddenRequired=true,487,0,122
1685013256059,2659,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-95,text,true,,4582001,182,6,6,https://rcie.nuttchai.app/api/v1/search?offset=10361&limit=16413&isHiddenRequired=true,478,0,116
1685013257126,1649,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-97,text,true,,5165474,181,6,6,https://rcie.nuttchai.app/api/v1/search?offset=2104&limit=18511&isHiddenRequired=true,505,0,117
1685013253923,4890,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-91,text,true,,5044544,181,5,5,https://rcie.nuttchai.app/api/v1/search?offset=8451&limit=18074&isHiddenRequired=true,515,0,166
1685013258193,657,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-99,text,true,,35128,325,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=12451&limit=124,623,0,131
1685013258726,367,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-100,text,true,,8066,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=18315&limit=27&isHiddenRequired=true,367,0,124
1685013257659,1588,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-98,text,true,,4330263,182,2,2,https://rcie.nuttchai.app/api/v1/search?offset=22763&limit=15549&isHiddenRequired=true,449,0,123
1685013259259,303,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-101,text,true,,12397,178,2,2,https://rcie.nuttchai.app/api/v1/search?offset=7881&limit=45&isHiddenRequired=true,270,0,119
1685013256593,3314,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-96,text,true,,5333632,181,2,2,https://rcie.nuttchai.app/api/v1/search?offset=1354&limit=19106&isHiddenRequired=true,448,0,120
1685013259791,385,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-102,text,true,,28348,179,1,1,https://rcie.nuttchai.app/api/v1/search?offset=32578&limit=98&isHiddenRequired=true,351,0,118
1685013260857,890,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-104,text,true,,49461,333,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=41703&limit=171,825,0,119
1685013260325,2096,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-103,text,true,,4787222,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=29537&limit=17145&isHiddenRequired=true,489,0,119
1685013261392,1502,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-105,text,true,,4503061,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=12524&limit=16121&isHiddenRequired=true,475,0,115
1685013261924,1358,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-106,text,true,,95601,324,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=25237&limit=344,1291,0,113
1685013263522,315,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-109,text,true,,6680,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=32572&limit=22&isHiddenRequired=true,315,0,125
1685013262457,2477,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-107,text,true,,4647975,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=7544&limit=16626&isHiddenRequired=true,524,0,119
1685013262989,2062,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-108,text,true,,4547874,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=19808&limit=16329&isHiddenRequired=true,519,0,116
1685013264053,2348,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-110,text,true,,4440815,181,5,5,https://rcie.nuttchai.app/api/v1/search?offset=1209&limit=15899&isHiddenRequired=true,478,0,122
1685013264585,2354,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-111,text,true,,4774160,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=24719&limit=17128&isHiddenRequired=true,446,0,119
1685013266182,1055,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-114,text,true,,4687987,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=16315&limit=16794&isHiddenRequired=true,570,0,120
1685013265651,1833,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-113,text,true,,5485782,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=2071&limit=19674&isHiddenRequired=true,585,0,115
1685013265118,3320,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-112,text,true,,275774,333,5,5,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=30076&limit=956,3182,0,120
1685013267781,664,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-117,text,true,,20975,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=23053&limit=71&isHiddenRequired=true,630,0,119
1685013266717,1977,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-115,text,true,,141655,326,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=38648&limit=506,1874,0,115
1685013267249,1929,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-116,text,true,,120656,329,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=785&limit=424,1829,0,114
