"time","timestamp [ms]","cpu_usage [ratios]","memory_usage [ratios]","bandwidth_inbound [MB/s]","bandwidth_outbound [MB/s]","tps [req/s]","tps_error [req/s]","response_time [ms]","status"
"2023-05-25 18:13:15","1685013195000","0.01","0.374","5.63","4.91","0.236","0","136","0"
"2023-05-25 18:13:20","1685013200000","0.01","0.374","5.59","4.85","0.236","0","137","0"
"2023-05-25 18:13:25","1685013205000","0.01","0.374","5.6","4.88","0.218","0","73.4","0"
"2023-05-25 18:13:30","1685013210000","0.004","0.374","5.6","4.88","0.218","0","72.7","0"
"2023-05-25 18:13:35","1685013215000","0.252","0.39399999999999996","10500","9030","0.455","0","730","0"
"2023-05-25 18:13:40","1685013220000","0.218","0.392","14300","12200","0.618","0","672","0"
"2023-05-25 18:13:45","1685013225000","0.23","0.37799999999999995","3800","3390","0.818","0","735","0"
"2023-05-25 18:13:50","1685013230000","0.154","0.379","10200","8720","0.982","0","656","0"
"2023-05-25 18:13:55","1685013235000","0.22","0.379","3260","2860","1.11","0","698","0"
"2023-05-25 18:14:00","1685013240000","0.29","0.38299999999999995","8970","7820","1.31","0","766","0"
"2023-05-25 18:14:05","1685013245000","0.284","0.381","5020","4780","1.49","0","802","0"
"2023-05-25 18:14:10","1685013250000","0.258","0.376","7180","5860","1.65","0","790","0"
"2023-05-25 18:14:15","1685013255000","0.11","0.376","3050","2640","1.84","0","754","0"
"2023-05-25 18:14:20","1685013260000","0.27399999999999997","0.377","20300","17500","2.02","0","722","0"
"2023-05-25 18:14:25","1685013265000","0.15","0.377","8020","6670","2.18","0","701","0"
"2023-05-25 18:14:30","1685013270000","0.316","0.377","15500","13400","2.11","0","652","0"
"2023-05-25 18:14:35","1685013275000","0.242","0.379","8460","7210","2.11","0","648","0"
"2023-05-25 18:14:40","1685013280000","0.248","0.379","12800","11000","2.05","0","634","0"
"2023-05-25 18:14:45","1685013285000","0.262","0.377","8350","7270","2.07","0","695","0"
"2023-05-25 18:14:50","1685013290000","0.306","0.379","8970","7700","2.13","0","671","0"
"2023-05-25 18:14:55","1685013295000","0.142","0.379","7900","7290","2.09","0","596","0"
"2023-05-25 18:15:00","1685013300000","0.19","0.379","14600","12000","2.05","0","553","0"
"2023-05-25 18:15:05","1685013305000","0.37200000000000005","0.379","12000","10300","2.07","0","606","0"
"2023-05-25 18:15:10","1685013310000","0.29","0.379","7770","6750","2.05","0","661","0"
"2023-05-25 18:15:15","1685013315000","0.294","0.377","9230","8020","2.04","0","726","0"
"2023-05-25 18:15:20","1685013320000","0.28800000000000003","0.377","9110","8550","2.07","0","750","0"
"2023-05-25 18:15:25","1685013325000","0.22","0.381","12700","10200","2.07","0","732","0"
"2023-05-25 18:15:30","1685013330000","0.24","0.379","14300","12200","2.04","0","731","0"
"2023-05-25 18:15:35","1685013335000","0.198","0.379","5450","4700","2.09","0","716","0"
"2023-05-25 18:15:40","1685013340000","0.24600000000000002","0.379","11200","9630","2.07","0","714","0"
"2023-05-25 18:15:45","1685013345000","0.318","0.377","3560","3500","2.07","0","771","0"
"2023-05-25 18:15:50","1685013350000","0.3","0.381","8920","7480","2.05","0","822","0"
"2023-05-25 18:15:55","1685013355000","0.28800000000000003","0.381","8080","6960","2.11","0","832","0"
"2023-05-25 18:16:00","1685013360000","0.172","0.381","8010","6920","2.05","0","778","0"
"2023-05-25 18:16:05","1685013365000","0.304","0.381","13700","11800","2.11","0","755","0"
"2023-05-25 18:16:10","1685013370000","0.23800000000000002","0.381","13600","11600","2.05","0","710","0"
"2023-05-25 18:16:15","1685013375000","0.31","0.381","8680","7580","2.05","0","746","0"
"2023-05-25 18:16:20","1685013380000","0.28600000000000003","0.381","1840","1780","2","0","815","0"
"2023-05-25 18:16:25","1685013385000","0.198","0.381","3380","2960","1.98","0","849","0"
"2023-05-25 18:16:30","1685013390000","0.18","0.381","5620","4900","1.87","0","868","0"
"2023-05-25 18:16:35","1685013395000","0.28","0.381","3850","3460","1.8","0","905","0"
"2023-05-25 18:16:40","1685013400000","0.28800000000000003","0.381","8420","7330","1.78","0","879","0"
"2023-05-25 18:16:45","1685013405000","0.142","0.381","5630","4760","1.71","0","872","0"
"2023-05-25 18:16:50","1685013410000","0.292","0.381","9160","7970","1.65","0","911","0"
"2023-05-25 18:16:55","1685013415000","0.114","0.381","3010","2540","1.64","0","890","0"
"2023-05-25 18:17:00","1685013420000","0.152","0.381","6150","5990","1.55","0","877","0"
"2023-05-25 18:17:05","1685013425000","0.24","0.381","12100","10000","1.51","0","919","0"
"2023-05-25 18:17:10","1685013430000","0.20600000000000002","0.381","6520","5230","1.42","0","882","0"
"2023-05-25 18:17:15","1685013435000","0.20199999999999999","0.381","3300","2940","1.42","0","814","0"
"2023-05-25 18:17:20","1685013440000","0.154","0.381","3930","4200","1.42","0","815","0"
"2023-05-25 18:17:25","1685013445000","0.218","0.381","9940","7790","1.42","0","816","0"
"2023-05-25 18:17:30","1685013450000","0.212","0.381","3400","3020","1.47","0","791","0"
"2023-05-25 18:17:35","1685013455000","0.20800000000000002","0.381","1140","1160","1.42","0","803","0"
"2023-05-25 18:17:40","1685013460000","0.174","0.379","10300","8730","1.45","0","783","0"
"2023-05-25 18:17:45","1685013465000","0.22","0.379","1190","1180","1.42","0","776","0"
"2023-05-25 18:17:50","1685013470000","0.122","0.379","3310","2850","1.44","0","798","0"
"2023-05-25 18:17:55","1685013475000","0.172","0.379","3480","3050","1.42","0","822","0"
"2023-05-25 18:18:00","1685013480000","0.136","0.379","5260","4510","1.45","0","779","0"
"2023-05-25 18:18:05","1685013485000","0.092","0.379","4950","4240","1.45","0","750","0"
"2023-05-25 18:18:10","1685013490000","0.22399999999999998","0.379","7760","6930","1.45","0","735","0"
"2023-05-25 18:18:15","1685013495000","0.184","0.379","4030.0000000000005","3300","1.47","0","735","0"
"2023-05-25 18:18:20","1685013500000","0.128","0.379","726","739","1.47","0","749","0"
"2023-05-25 18:18:25","1685013505000","0.25","0.379","6800","6090","1.44","0","723","0"
"2023-05-25 18:18:30","1685013510000","0.256","0.379","9420","8410","1.45","0","696","0"
"2023-05-25 18:18:35","1685013515000","0.152","0.379","4370","3260","1.47","0","709","0"
"2023-05-25 18:18:40","1685013520000","0.11800000000000001","0.381","5390","4600","1.47","0","662","0"
"2023-05-25 18:18:45","1685013525000","0.114","0.381","5840","5010","1.45","0","654","0"
"2023-05-25 18:18:50","1685013530000","0.228","0.381","8550","7360","1.44","0","646","0"
"2023-05-25 18:18:55","1685013535000","0.25","0.381","7350","6860","1.45","0","674","0"
"2023-05-25 18:19:00","1685013540000","0.17800000000000002","0.381","5230","4050","1.45","0","722","0"
"2023-05-25 18:19:05","1685013545000","0.198","0.381","6360","5490","1.45","0","711","0"
"2023-05-25 18:19:10","1685013550000","0.18","0.381","12000","10300","1.44","0","674","0"
"2023-05-25 18:19:15","1685013555000","0.11599999999999999","0.381","9960","8400","1.47","0","613","0"
"2023-05-25 18:19:20","1685013560000","0.094","0.377","5180","4430","1.47","0","564","0"
"2023-05-25 18:19:25","1685013565000","0.132","0.377","7230","6180","1.45","0","532","0"
"2023-05-25 18:19:30","1685013570000","0.2","0.377","3300","2900","1.42","0","518","0"
"2023-05-25 18:19:35","1685013575000","0.166","0.377","7530","6430","1.45","0","522","0"
"2023-05-25 18:19:40","1685013580000","0.062","0.377","2590","2220","1.45","0","515","0"
"2023-05-25 18:19:45","1685013585000","0.102","0.377","5990","5120","1.45","0","499","0"
"2023-05-25 18:19:50","1685013590000","0.27399999999999997","0.379","6000","5250","1.45","0","517","0"
"2023-05-25 18:19:55","1685013595000","0.198","0.379","5290","4790","1.47","0","470","0"
"2023-05-25 18:20:00","1685013600000","0.07200000000000001","0.379","5960","4820","1.45","0","427","0"
"2023-05-25 18:20:05","1685013605000","0.222","0.38299999999999995","7890","6800","1.42","0","470","0"
"2023-05-25 18:20:10","1685013610000","0.314","0.38299999999999995","8230","7070","1.44","0","555","0"
"2023-05-25 18:20:15","1685013615000","0.172","0.38299999999999995","5630","4890","1.42","0","608","0"
"2023-05-25 18:20:20","1685013620000","0.298","0.38299999999999995","6530","5690","1.4","0","665","0"
"2023-05-25 18:20:25","1685013625000","0.29","0.381","9120","7860","1.47","0","711","0"
"2023-05-25 18:20:30","1685013630000","0.136","0.381","8260","7070","1.42","0","725","0"
"2023-05-25 18:20:35","1685013635000","0.16","0.385","5360","4600","1.45","0","741","0"
"2023-05-25 18:20:40","1685013640000","0.23800000000000002","0.381","3010","2690","1.45","0","787","0"
"2023-05-25 18:20:45","1685013645000","0.32","0.381","6330","5510","1.42","0","796","0"
"2023-05-25 18:20:50","1685013650000","0.27","0.381","6260","5410","1.44","0","842","0"
"2023-05-25 18:20:55","1685013655000","0.146","0.381","5690","4870","1.45","0","846","0"
"2023-05-25 18:21:00","1685013660000","0.162","0.381","5710","4940","1.47","0","827","0"
"2023-05-25 18:21:05","1685013665000","0.106","0.381","5140","4360","1.38","0","777","0"
"2023-05-25 18:21:10","1685013670000","0.008","0.381","25.4","21.9","1.31","0","744","0"
"2023-05-25 18:21:15","1685013675000","0.044000000000000004","0.381","2900","2470","1.25","0","680","0"
"2023-05-25 18:21:20","1685013680000","0.012","0.381","21.8","19","1.13","0","609","0"
"2023-05-25 18:21:25","1685013685000","0.042","0.381","2350","2000","1.07","0","595","0"
"2023-05-25 18:21:30","1685013690000","0.06","0.381","2740","2350","0.964","0","594","0"
"2023-05-25 18:21:35","1685013695000","0.07","0.381","5180","4400","0.909","0","520","0"
"2023-05-25 18:21:40","1685013700000","0.034","0.381","140","135","0.836","0","438","0"
"2023-05-25 18:21:45","1685013705000","0.092","0.381","418","404","0.727","0","383","0"
"2023-05-25 18:21:50","1685013710000","0.01","0.381","26.1","22.6","0.636","0","364","0"
"2023-05-25 18:21:55","1685013715000","0.062","0.381","219","212","0.564","0","316","0"
"2023-05-25 18:22:00","1685013720000","0.10800000000000001","0.381","471","455","0.564","0","371","0"
"2023-05-25 18:22:05","1685013725000","0.01","0.381","20.2","17.6","0.564","0","372","0"
"2023-05-25 18:22:10","1685013730000","0.11800000000000001","0.381","443","427","0.564","0","433","0"
"2023-05-25 18:22:15","1685013735000","0.1","0.381","433","420","0.564","0","502","0"
"2023-05-25 18:22:20","1685013740000","0.01","0.381","17","14.9","0.564","0","497","0"
"2023-05-25 18:22:25","1685013745000","0.027999999999999997","0.381","96.9","93.3","0.564","0","474","0"
