"Time","bandwidth_inbound","bandwidth_outbound"
2023-05-25 18:13:15,5.63 MB/s,4.91 MB/s
2023-05-25 18:13:20,5.59 MB/s,4.85 MB/s
2023-05-25 18:13:25,5.60 MB/s,4.88 MB/s
2023-05-25 18:13:30,5.60 MB/s,4.88 MB/s
2023-05-25 18:13:35,10.5 GB/s,9.03 GB/s
2023-05-25 18:13:40,14.3 GB/s,12.2 GB/s
2023-05-25 18:13:45,3.80 GB/s,3.39 GB/s
2023-05-25 18:13:50,10.2 GB/s,8.72 GB/s
2023-05-25 18:13:55,3.26 GB/s,2.86 GB/s
2023-05-25 18:14:00,8.97 GB/s,7.82 GB/s
2023-05-25 18:14:05,5.02 GB/s,4.78 GB/s
2023-05-25 18:14:10,7.18 GB/s,5.86 GB/s
2023-05-25 18:14:15,3.05 GB/s,2.64 GB/s
2023-05-25 18:14:20,20.3 GB/s,17.5 GB/s
2023-05-25 18:14:25,8.02 GB/s,6.67 GB/s
2023-05-25 18:14:30,15.5 GB/s,13.4 GB/s
2023-05-25 18:14:35,8.46 GB/s,7.21 GB/s
2023-05-25 18:14:40,12.8 GB/s,11.0 GB/s
2023-05-25 18:14:45,8.35 GB/s,7.27 GB/s
2023-05-25 18:14:50,8.97 GB/s,7.70 GB/s
2023-05-25 18:14:55,7.90 GB/s,7.29 GB/s
2023-05-25 18:15:00,14.6 GB/s,12.0 GB/s
2023-05-25 18:15:05,12.0 GB/s,10.3 GB/s
2023-05-25 18:15:10,7.77 GB/s,6.75 GB/s
2023-05-25 18:15:15,9.23 GB/s,8.02 GB/s
2023-05-25 18:15:20,9.11 GB/s,8.55 GB/s
2023-05-25 18:15:25,12.7 GB/s,10.2 GB/s
2023-05-25 18:15:30,14.3 GB/s,12.2 GB/s
2023-05-25 18:15:35,5.45 GB/s,4.70 GB/s
2023-05-25 18:15:40,11.2 GB/s,9.63 GB/s
2023-05-25 18:15:45,3.56 GB/s,3.50 GB/s
2023-05-25 18:15:50,8.92 GB/s,7.48 GB/s
2023-05-25 18:15:55,8.08 GB/s,6.96 GB/s
2023-05-25 18:16:00,8.01 GB/s,6.92 GB/s
2023-05-25 18:16:05,13.7 GB/s,11.8 GB/s
2023-05-25 18:16:10,13.6 GB/s,11.6 GB/s
