"Time","response_time"
2023-05-25 18:13:15,136 ms
2023-05-25 18:13:20,137 ms
2023-05-25 18:13:25,73.4 ms
2023-05-25 18:13:30,72.7 ms
2023-05-25 18:13:35,730 ms
2023-05-25 18:13:40,672 ms
2023-05-25 18:13:45,735 ms
2023-05-25 18:13:50,656 ms
2023-05-25 18:13:55,698 ms
2023-05-25 18:14:00,766 ms
2023-05-25 18:14:05,802 ms
2023-05-25 18:14:10,790 ms
2023-05-25 18:14:15,754 ms
2023-05-25 18:14:20,722 ms
2023-05-25 18:14:25,701 ms
2023-05-25 18:14:30,652 ms
2023-05-25 18:14:35,648 ms
2023-05-25 18:14:40,634 ms
2023-05-25 18:14:45,695 ms
2023-05-25 18:14:50,671 ms
2023-05-25 18:14:55,596 ms
2023-05-25 18:15:00,553 ms
2023-05-25 18:15:05,606 ms
2023-05-25 18:15:10,661 ms
2023-05-25 18:15:15,726 ms
2023-05-25 18:15:20,750 ms
2023-05-25 18:15:25,732 ms
2023-05-25 18:15:30,731 ms
2023-05-25 18:15:35,716 ms
2023-05-25 18:15:40,714 ms
2023-05-25 18:15:45,771 ms
2023-05-25 18:15:50,822 ms
2023-05-25 18:15:55,832 ms
2023-05-25 18:16:00,778 ms
2023-05-25 18:16:05,755 ms
2023-05-25 18:16:10,710 ms
2023-05-25 18:16:15,746 ms
2023-05-25 18:16:20,815 ms
2023-05-25 18:16:25,849 ms
2023-05-25 18:16:30,868 ms
2023-05-25 18:16:35,905 ms
2023-05-25 18:16:40,879 ms
2023-05-25 18:16:45,872 ms
2023-05-25 18:16:50,911 ms
2023-05-25 18:16:55,890 ms
2023-05-25 18:17:00,877 ms
2023-05-25 18:17:05,919 ms
2023-05-25 18:17:10,882 ms
2023-05-25 18:17:15,814 ms
2023-05-25 18:17:20,815 ms
2023-05-25 18:17:25,816 ms
2023-05-25 18:17:30,791 ms
2023-05-25 18:17:35,803 ms
2023-05-25 18:17:40,783 ms
2023-05-25 18:17:45,776 ms
2023-05-25 18:17:50,798 ms
2023-05-25 18:17:55,822 ms
2023-05-25 18:18:00,779 ms
2023-05-25 18:18:05,750 ms
2023-05-25 18:18:10,735 ms
2023-05-25 18:18:15,735 ms
2023-05-25 18:18:20,749 ms
2023-05-25 18:18:25,723 ms
2023-05-25 18:18:30,696 ms
2023-05-25 18:18:35,709 ms
2023-05-25 18:18:40,662 ms
2023-05-25 18:18:45,654 ms
2023-05-25 18:18:50,646 ms
2023-05-25 18:18:55,674 ms
2023-05-25 18:19:00,722 ms
2023-05-25 18:19:05,711 ms
2023-05-25 18:19:10,674 ms
2023-05-25 18:19:15,613 ms
2023-05-25 18:19:20,564 ms
2023-05-25 18:19:25,532 ms
2023-05-25 18:19:30,518 ms
2023-05-25 18:19:35,522 ms
2023-05-25 18:19:40,515 ms
2023-05-25 18:19:45,499 ms
2023-05-25 18:19:50,517 ms
2023-05-25 18:19:55,470 ms
2023-05-25 18:20:00,427 ms
2023-05-25 18:20:05,470 ms
2023-05-25 18:20:10,555 ms
2023-05-25 18:20:15,608 ms
2023-05-25 18:20:20,665 ms
2023-05-25 18:20:25,711 ms
2023-05-25 18:20:30,725 ms
2023-05-25 18:20:35,741 ms
2023-05-25 18:20:40,787 ms
2023-05-25 18:20:45,796 ms
2023-05-25 18:20:50,842 ms
2023-05-25 18:20:55,846 ms
2023-05-25 18:21:00,827 ms
2023-05-25 18:21:05,777 ms
2023-05-25 18:21:10,744 ms
2023-05-25 18:21:15,680 ms
2023-05-25 18:21:20,609 ms
2023-05-25 18:21:25,595 ms
2023-05-25 18:21:30,594 ms
2023-05-25 18:21:35,520 ms
2023-05-25 18:21:40,438 ms
2023-05-25 18:21:45,383 ms
2023-05-25 18:21:50,364 ms
2023-05-25 18:21:55,316 ms
2023-05-25 18:22:00,371 ms
2023-05-25 18:22:05,372 ms
2023-05-25 18:22:10,433 ms
2023-05-25 18:22:15,502 ms
2023-05-25 18:22:20,497 ms
2023-05-25 18:22:25,474 ms
2023-05-25 18:22:30,514 ms
2023-05-25 18:22:35,489 ms
2023-05-25 18:22:40,445 ms
2023-05-25 18:22:45,456 ms
2023-05-25 18:22:50,467 ms
2023-05-25 18:22:55,403 ms
2023-05-25 18:23:00,401 ms
2023-05-25 18:23:05,347 ms
2023-05-25 18:23:10,355 ms
2023-05-25 18:23:15,346 ms
2023-05-25 18:23:20,355 ms
2023-05-25 18:23:25,415 ms
2023-05-25 18:23:30,422 ms
2023-05-25 18:23:35,461 ms
2023-05-25 18:23:40,451 ms
2023-05-25 18:23:45,402 ms
2023-05-25 18:23:50,399 ms
2023-05-25 18:23:55,471 ms
2023-05-25 18:24:00,534 ms
2023-05-25 18:24:05,472 ms
2023-05-25 18:24:10,510 ms
2023-05-25 18:24:15,542 ms
2023-05-25 18:24:20,459 ms
2023-05-25 18:24:25,498 ms
2023-05-25 18:24:30,444 ms
2023-05-25 18:24:35,463 ms
2023-05-25 18:24:40,476 ms
2023-05-25 18:24:45,501 ms
2023-05-25 18:24:50,424 ms
2023-05-25 18:24:55,339 ms
2023-05-25 18:25:00,327 ms
2023-05-25 18:25:05,279 ms
2023-05-25 18:25:10,237 ms
2023-05-25 18:25:15,237 ms
2023-05-25 18:25:20,180 ms
2023-05-25 18:25:25,191 ms
2023-05-25 18:25:30,251 ms
2023-05-25 18:25:35,241 ms
2023-05-25 18:25:40,340 ms
2023-05-25 18:25:45,441 ms
2023-05-25 18:25:50,458 ms
2023-05-25 18:25:55,516 ms
2023-05-25 18:26:00,512 ms
2023-05-25 18:26:05,495 ms
2023-05-25 18:26:10,598 ms
2023-05-25 18:26:15,600 ms
2023-05-25 18:26:20,599 ms
2023-05-25 18:26:25,526 ms
2023-05-25 18:26:30,526 ms
2023-05-25 18:26:35,465 ms
2023-05-25 18:26:40,366 ms
2023-05-25 18:26:45,419 ms
2023-05-25 18:26:50,372 ms
2023-05-25 18:26:55,383 ms
2023-05-25 18:27:00,470 ms
2023-05-25 18:27:05,361 ms
2023-05-25 18:27:10,392 ms
2023-05-25 18:27:15,377 ms
2023-05-25 18:27:20,561 ms
2023-05-25 18:27:25,530 ms
2023-05-25 18:27:30,519 ms
2023-05-25 18:27:35,540 ms
2023-05-25 18:27:40,529 ms
2023-05-25 18:27:45,541 ms
2023-05-25 18:27:50,630 ms
2023-05-25 18:27:55,587 ms
2023-05-25 18:28:00,618 ms
2023-05-25 18:28:05,612 ms
2023-05-25 18:28:10,645 ms
2023-05-25 18:28:15,649 ms
2023-05-25 18:28:20,708 ms
2023-05-25 18:28:25,738 ms
2023-05-25 18:28:30,739 ms
2023-05-25 18:28:35,766 ms
2023-05-25 18:28:40,793 ms
2023-05-25 18:28:45,827 ms
2023-05-25 18:28:50,856 ms
2023-05-25 18:28:55,836 ms
2023-05-25 18:29:00,819 ms
2023-05-25 18:29:05,817 ms
2023-05-25 18:29:10,790 ms
2023-05-25 18:29:15,742 ms
2023-05-25 18:29:20,746 ms
2023-05-25 18:29:25,740 ms
2023-05-25 18:29:30,709 ms
2023-05-25 18:29:35,665 ms
2023-05-25 18:29:40,609 ms
2023-05-25 18:29:45,571 ms
2023-05-25 18:29:50,570 ms
2023-05-25 18:29:55,625 ms
2023-05-25 18:30:00,634 ms
2023-05-25 18:30:05,604 ms
2023-05-25 18:30:10,666 ms
2023-05-25 18:30:15,649 ms
2023-05-25 18:30:20,669 ms
2023-05-25 18:30:25,671 ms
2023-05-25 18:30:30,715 ms
2023-05-25 18:30:35,704 ms
2023-05-25 18:30:40,771 ms
2023-05-25 18:30:45,740 ms
2023-05-25 18:30:50,688 ms
2023-05-25 18:30:55,637 ms
2023-05-25 18:31:00,622 ms
2023-05-25 18:31:05,584 ms
2023-05-25 18:31:10,570 ms
2023-05-25 18:31:15,531 ms
2023-05-25 18:31:20,503 ms
2023-05-25 18:31:25,614 ms
2023-05-25 18:31:30,855 ms
2023-05-25 18:31:35,962 ms
2023-05-25 18:31:40,1.01 s
2023-05-25 18:31:45,1.07 s
2023-05-25 18:31:50,1.08 s
2023-05-25 18:31:55,1.12 s
2023-05-25 18:32:00,1.25 s
2023-05-25 18:32:05,1.40 s
2023-05-25 18:32:10,1.50 s
2023-05-25 18:32:15,1.59 s
2023-05-25 18:32:20,1.64 s
2023-05-25 18:32:25,1.62 s
2023-05-25 18:32:30,1.71 s
2023-05-25 18:32:35,1.90 s
2023-05-25 18:32:40,1.90 s
2023-05-25 18:32:45,1.92 s
2023-05-25 18:32:50,1.90 s
2023-05-25 18:32:55,1.87 s
2023-05-25 18:33:00,1.80 s
2023-05-25 18:33:05,1.75 s
2023-05-25 18:33:10,1.70 s
2023-05-25 18:33:15,1.57 s
2023-05-25 18:33:20,1.50 s
2023-05-25 18:33:25,1.42 s
