"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-06-12 11:33:10","1686544390000","0.600%","37.4%","8.73 MB/s","6.42 MB/s","0.200 req/s","0 req/s","15.1 ms","0"
"2023-06-12 11:33:15","1686544395000","1.20%","37.4%","8.79 MB/s","6.49 MB/s","0.200 req/s","0 req/s","20.1 ms","0"
"2023-06-12 11:33:20","1686544400000","0.800%","37.4%","8.77 MB/s","6.46 MB/s","0.200 req/s","0 req/s","14.3 ms","0"
"2023-06-12 11:33:25","1686544405000","0.800%","37.4%","8.74 MB/s","6.44 MB/s","0.200 req/s","0 req/s","18.9 ms","0"
"2023-06-12 11:33:30","1686544410000","0.800%","37.4%","8.88 MB/s","6.53 MB/s","0.200 req/s","0 req/s","17.5 ms","0"
"2023-06-12 11:33:35","1686544415000","0.800%","37.0%","8.73 MB/s","6.42 MB/s","0.200 req/s","0 req/s","17.6 ms","0"
"2023-06-12 11:33:40","1686544420000","4.80%","36.9%","906 MB/s","1.72 GB/s","2 req/s","0 req/s","1.05 s","0"
"2023-06-12 11:33:45","1686544425000","40.0%","39.4%","17.7 GB/s","14.3 GB/s","2.60 req/s","0 req/s","1.61 s","0"
"2023-06-12 11:33:50","1686544430000","12.6%","38.7%","5.98 GB/s","5.13 GB/s","1.60 req/s","0 req/s","232 ms","0"
"2023-06-12 11:33:55","1686544435000","23.6%","38.5%","8.11 GB/s","7.01 GB/s","2.60 req/s","0 req/s","974 ms","0"
"2023-06-12 11:34:00","1686544440000","21.6%","37.6%","13.9 GB/s","11.8 GB/s","2 req/s","0 req/s","536 ms","0"
"2023-06-12 11:34:05","1686544445000","18.2%","37.6%","10.7 GB/s","9.25 GB/s","1.80 req/s","0 req/s","465 ms","0"
"2023-06-12 11:34:10","1686544450000","33.8%","37.6%","16.3 GB/s","13.9 GB/s","2.19 req/s","0 req/s","1.29 s","0"
"2023-06-12 11:34:15","1686544455000","21.4%","37.6%","13.1 GB/s","11.2 GB/s","2.41 req/s","0 req/s","443 ms","0"
"2023-06-12 11:34:20","1686544460000","11.2%","37.6%","3.76 GB/s","3.83 GB/s","2 req/s","0 req/s","397 ms","0"
"2023-06-12 11:34:25","1686544465000","15.8%","37.6%","12.5 GB/s","10.1 GB/s","1.80 req/s","0 req/s","497 ms","0"
"2023-06-12 11:34:30","1686544470000","23.2%","37.6%","16.2 GB/s","13.8 GB/s","2.20 req/s","0 req/s","654 ms","0"
"2023-06-12 11:34:35","1686544475000","21.6%","37.6%","6.08 GB/s","5.81 GB/s","2.20 req/s","0 req/s","977 ms","0"
"2023-06-12 11:34:40","1686544480000","25%","37.4%","11.6 GB/s","10.0 GB/s","2.20 req/s","0 req/s","800 ms","0"
"2023-06-12 11:34:45","1686544485000","18.2%","37.4%","14.3 GB/s","11.7 GB/s","1.40 req/s","0 req/s","227 ms","0"
"2023-06-12 11:34:50","1686544490000","20.0%","37.4%","6.92 GB/s","6.00 GB/s","2.60 req/s","0 req/s","836 ms","0"
"2023-06-12 11:34:55","1686544495000","15.6%","37.4%","5.80 GB/s","5.03 GB/s","1.80 req/s","0 req/s","682 ms","0"
"2023-06-12 11:35:00","1686544500000","23.8%","37.4%","12.9 GB/s","11.1 GB/s","2 req/s","0 req/s","636 ms","0"
"2023-06-12 11:35:05","1686544505000","23.2%","37.4%","6.43 GB/s","5.58 GB/s","2.40 req/s","0 req/s","938 ms","0"
"2023-06-12 11:35:10","1686544510000","23.4%","37.4%","3.59 GB/s","3.16 GB/s","2.20 req/s","0 req/s","806 ms","0"
"2023-06-12 11:35:15","1686544515000","17.4%","37.4%","13.2 GB/s","11.2 GB/s","2 req/s","0 req/s","243 ms","0"
"2023-06-12 11:35:20","1686544520000","12.0%","37.4%","7.93 GB/s","6.80 GB/s","1.40 req/s","0 req/s","294 ms","0"
"2023-06-12 11:35:25","1686544525000","27.4%","37.4%","6.94 GB/s","6.08 GB/s","2.80 req/s","0 req/s","1.03 s","0"
"2023-06-12 11:35:30","1686544530000","26.6%","37.4%","5.77 GB/s","5.04 GB/s","2.20 req/s","0 req/s","823 ms","0"
"2023-06-12 11:35:35","1686544535000","13.8%","37.4%","8.54 GB/s","7.26 GB/s","1.80 req/s","0 req/s","238 ms","0"
"2023-06-12 11:35:40","1686544540000","20.4%","37.4%","10.4 GB/s","8.98 GB/s","2.20 req/s","0 req/s","616 ms","0"
"2023-06-12 11:35:45","1686544545000","21.4%","37.4%","3.57 GB/s","3.13 GB/s","2 req/s","0 req/s","682 ms","0"
"2023-06-12 11:35:50","1686544550000","20.0%","37.4%","5.77 GB/s","4.99 GB/s","2.20 req/s","0 req/s","632 ms","0"
"2023-06-12 11:35:55","1686544555000","11.0%","37.4%","7.54 GB/s","6.47 GB/s","1.80 req/s","0 req/s","243 ms","0"
"2023-06-12 11:36:00","1686544560000","24.2%","37.4%","3.97 GB/s","3.53 GB/s","2.20 req/s","0 req/s","1.04 s","0"
"2023-06-12 11:36:05","1686544565000","29.2%","37.4%","10.2 GB/s","9.56 GB/s","2 req/s","0 req/s","983 ms","0"
