"Time","tps","tps_error"
2023-06-12 11:33:10,0.200 req/s,0 req/s
2023-06-12 11:33:15,0.200 req/s,0 req/s
2023-06-12 11:33:20,0.200 req/s,0 req/s
2023-06-12 11:33:25,0.200 req/s,0 req/s
2023-06-12 11:33:30,0.200 req/s,0 req/s
2023-06-12 11:33:35,0.200 req/s,0 req/s
2023-06-12 11:33:40,2 req/s,0 req/s
2023-06-12 11:33:45,2.60 req/s,0 req/s
2023-06-12 11:33:50,1.60 req/s,0 req/s
2023-06-12 11:33:55,2.60 req/s,0 req/s
2023-06-12 11:34:00,2 req/s,0 req/s
2023-06-12 11:34:05,1.80 req/s,0 req/s
2023-06-12 11:34:10,2.19 req/s,0 req/s
2023-06-12 11:34:15,2.41 req/s,0 req/s
2023-06-12 11:34:20,2 req/s,0 req/s
2023-06-12 11:34:25,1.80 req/s,0 req/s
2023-06-12 11:34:30,2.20 req/s,0 req/s
2023-06-12 11:34:35,2.20 req/s,0 req/s
2023-06-12 11:34:40,2.20 req/s,0 req/s
2023-06-12 11:34:45,1.40 req/s,0 req/s
2023-06-12 11:34:50,2.60 req/s,0 req/s
2023-06-12 11:34:55,1.80 req/s,0 req/s
2023-06-12 11:35:00,2 req/s,0 req/s
2023-06-12 11:35:05,2.40 req/s,0 req/s
2023-06-12 11:35:10,2.20 req/s,0 req/s
2023-06-12 11:35:15,2 req/s,0 req/s
2023-06-12 11:35:20,1.40 req/s,0 req/s
2023-06-12 11:35:25,2.80 req/s,0 req/s
2023-06-12 11:35:30,2.20 req/s,0 req/s
2023-06-12 11:35:35,1.80 req/s,0 req/s
2023-06-12 11:35:40,2.20 req/s,0 req/s
2023-06-12 11:35:45,2 req/s,0 req/s
2023-06-12 11:35:50,2.20 req/s,0 req/s
2023-06-12 11:35:55,1.80 req/s,0 req/s
2023-06-12 11:36:00,2.20 req/s,0 req/s
2023-06-12 11:36:05,2 req/s,0 req/s
2023-06-12 11:36:10,2 req/s,0 req/s
2023-06-12 11:36:15,2 req/s,0 req/s
2023-06-12 11:36:20,2.60 req/s,0 req/s
