"Time","cpu_usage"
2023-09-08 01:16:00,9.00%
2023-09-08 01:16:05,16.6%
2023-09-08 01:16:10,20.2%
2023-09-08 01:16:15,14.6%
2023-09-08 01:16:20,10.2%
2023-09-08 01:16:25,9.40%
2023-09-08 01:16:30,14.6%
2023-09-08 01:16:35,12.0%
2023-09-08 01:16:40,8.20%
2023-09-08 01:16:45,7.20%
2023-09-08 01:16:50,18.8%
2023-09-08 01:16:55,15.6%
2023-09-08 01:17:00,20.8%
2023-09-08 01:17:05,6.00%
2023-09-08 01:17:10,20.2%
2023-09-08 01:17:15,18.2%
2023-09-08 01:17:20,16.2%
2023-09-08 01:17:25,19.4%
2023-09-08 01:17:30,15.4%
2023-09-08 01:17:35,15.4%
2023-09-08 01:17:40,6.60%
2023-09-08 01:17:45,12.6%
2023-09-08 01:17:50,16.6%
2023-09-08 01:17:55,12.4%
2023-09-08 01:18:00,13.8%
2023-09-08 01:18:05,8.20%
2023-09-08 01:18:10,16.8%
2023-09-08 01:18:15,18.0%
2023-09-08 01:18:20,17.6%
2023-09-08 01:18:25,6.00%
2023-09-08 01:18:30,11.6%
2023-09-08 01:18:35,15.8%
2023-09-08 01:18:40,12.4%
2023-09-08 01:18:45,5.20%
2023-09-08 01:18:50,12.6%
2023-09-08 01:18:55,7.80%
2023-09-08 01:19:00,11.6%
2023-09-08 01:19:05,17.4%
2023-09-08 01:19:10,19.0%
2023-09-08 01:19:15,23.6%
2023-09-08 01:19:20,12.8%
2023-09-08 01:19:25,23.4%
2023-09-08 01:19:30,21.2%
2023-09-08 01:19:35,14.6%
2023-09-08 01:19:40,11.8%
2023-09-08 01:19:45,16.0%
2023-09-08 01:19:50,10.2%
2023-09-08 01:19:55,9.80%
2023-09-08 01:20:00,8.40%
2023-09-08 01:20:05,28.4%
2023-09-08 01:20:10,19.8%
2023-09-08 01:20:15,26.8%
2023-09-08 01:20:20,19.2%
2023-09-08 01:20:25,13.6%
2023-09-08 01:20:30,14.4%
2023-09-08 01:20:35,10.2%
2023-09-08 01:20:40,15.0%
2023-09-08 01:20:45,23.4%
2023-09-08 01:20:50,11.8%
2023-09-08 01:20:55,20.2%
2023-09-08 01:21:00,8.80%
2023-09-08 01:21:05,15.2%
2023-09-08 01:21:10,20.4%
2023-09-08 01:21:15,20.8%
2023-09-08 01:21:20,23.4%
2023-09-08 01:21:25,21.0%
2023-09-08 01:21:30,27.0%
2023-09-08 01:21:35,13.6%
2023-09-08 01:21:40,31.2%
2023-09-08 01:21:45,22.8%
2023-09-08 01:21:50,13.8%
2023-09-08 01:21:55,19.4%
2023-09-08 01:22:00,17.2%
2023-09-08 01:22:05,17.4%
2023-09-08 01:22:10,11.4%
2023-09-08 01:22:15,8.80%
2023-09-08 01:22:20,6.40%
2023-09-08 01:22:25,18.2%
2023-09-08 01:22:30,13.0%
2023-09-08 01:22:35,15.2%
2023-09-08 01:22:40,12.2%
2023-09-08 01:22:45,10.6%
2023-09-08 01:22:50,13.4%
2023-09-08 01:22:55,23.6%
2023-09-08 01:23:00,12.0%
2023-09-08 01:23:05,11.6%
2023-09-08 01:23:10,9.20%
2023-09-08 01:23:15,13.2%
2023-09-08 01:23:20,8.20%
2023-09-08 01:23:25,6.60%
2023-09-08 01:23:30,11.6%
2023-09-08 01:23:35,17.4%
2023-09-08 01:23:40,13.6%
2023-09-08 01:23:45,11.2%
2023-09-08 01:23:50,12.4%
2023-09-08 01:23:55,18.6%
2023-09-08 01:24:00,20.6%
2023-09-08 01:24:05,13.4%
2023-09-08 01:24:10,12.4%
2023-09-08 01:24:15,23.4%
2023-09-08 01:24:20,28.6%
2023-09-08 01:24:25,18.8%
2023-09-08 01:24:30,9.60%
2023-09-08 01:24:35,11.2%
2023-09-08 01:24:40,11.4%
2023-09-08 01:24:45,19.0%
2023-09-08 01:24:50,24.2%
2023-09-08 01:24:55,3.60%
2023-09-08 01:25:00,11.4%
2023-09-08 01:25:05,27.6%
2023-09-08 01:25:10,22.6%
2023-09-08 01:25:15,40.4%
2023-09-08 01:25:20,34.4%
2023-09-08 01:25:25,33.6%
2023-09-08 01:25:30,16.0%
2023-09-08 01:25:35,16.8%
2023-09-08 01:25:40,18.6%
2023-09-08 01:25:45,11.4%
2023-09-08 01:25:50,18.0%
2023-09-08 01:25:55,20.0%
2023-09-08 01:26:00,4.20%
2023-09-08 01:26:05,9.00%
2023-09-08 01:26:10,16.6%
2023-09-08 01:26:15,15.2%
2023-09-08 01:26:20,17.0%
2023-09-08 01:26:25,13.6%
2023-09-08 01:26:30,13.8%
2023-09-08 01:26:35,22.8%
2023-09-08 01:26:40,3.40%
2023-09-08 01:26:45,14.6%
2023-09-08 01:26:50,17.0%
2023-09-08 01:26:55,21.2%
2023-09-08 01:27:00,20.4%
2023-09-08 01:27:05,20.8%
2023-09-08 01:27:10,17.4%
2023-09-08 01:27:15,21.0%
2023-09-08 01:27:20,7.80%
2023-09-08 01:27:25,19.0%
2023-09-08 01:27:30,12.8%
2023-09-08 01:27:35,9.60%
2023-09-08 01:27:40,12.8%
2023-09-08 01:27:45,12.6%
2023-09-08 01:27:50,16.8%
2023-09-08 01:27:55,18.2%
2023-09-08 01:28:00,18.4%
2023-09-08 01:28:05,16.6%
2023-09-08 01:28:10,21.8%
2023-09-08 01:28:15,18.4%
2023-09-08 01:28:20,13.8%
2023-09-08 01:28:25,15.2%
2023-09-08 01:28:30,8.00%
2023-09-08 01:28:35,16.4%
2023-09-08 01:28:40,15.0%
2023-09-08 01:28:45,6.80%
2023-09-08 01:28:50,12.0%
2023-09-08 01:28:55,13.8%
2023-09-08 01:29:00,8.20%
2023-09-08 01:29:05,13.2%
2023-09-08 01:29:10,17.8%
2023-09-08 01:29:15,21.0%
2023-09-08 01:29:20,9.60%
2023-09-08 01:29:25,15.6%
2023-09-08 01:29:30,26.0%
2023-09-08 01:29:35,31.4%
2023-09-08 01:29:40,6.80%
